Orthogroup	Mus_musculus	Monodelphis_domestica
OG0004820	sp|Q60664|IRAG2_MOUSE	tr|F7FF53|F7FF53_MONDO
OG0004821	sp|Q0VBD0|ITB8_MOUSE	tr|F7FJ00|F7FJ00_MONDO
OG0004822	sp|Q7TNS2|MIC10_MOUSE	tr|F7FLC0|F7FLC0_MONDO
OG0004823	tr|B2RVL1|B2RVL1_MOUSE	tr|F7FY32|F7FY32_MONDO
OG0004824	sp|Q8R1F0|L10K_MOUSE	tr|F7G2Q5|F7G2Q5_MONDO
OG0004825	sp|Q80WQ2|VAC14_MOUSE	tr|F7GCG4|F7GCG4_MONDO
OG0004826	sp|P10107|ANXA1_MOUSE	tr|F7GEB8|F7GEB8_MONDO
OG0004827	sp|E9Q1P8|I2BP2_MOUSE	tr|F7GEJ7|F7GEJ7_MONDO
OG0004828	sp|Q8CGI1|F193A_MOUSE	tr|F7GIZ0|F7GIZ0_MONDO
OG0004829	sp|B1AS42|NB5R5_MOUSE	tr|H9H803|H9H803_MONDO
OG0004830	sp|P59532|T2R41_MOUSE	tr|Q2AB86|Q2AB86_MONDO
OG0004831	sp|P97481|EPAS1_MOUSE	tr|A0A5F8G246|A0A5F8G246_MONDO
OG0004832	sp|O35963|RB33B_MOUSE	tr|A0A5F8G3L4|A0A5F8G3L4_MONDO
OG0004833	sp|P49722|PSA2_MOUSE	tr|A0A5F8GDP4|A0A5F8GDP4_MONDO
OG0004834	sp|Q8BJA3|HMBX1_MOUSE	tr|A0A5F8GEA4|A0A5F8GEA4_MONDO
OG0004835	sp|Q9D071|MMS19_MOUSE	tr|A0A5F8GKL9|A0A5F8GKL9_MONDO
OG0004837	sp|Q9D518|F227B_MOUSE	tr|A0A5F8GKW8|A0A5F8GKW8_MONDO
OG0004838	sp|Q7TSH2|KPBB_MOUSE	tr|A0A5F8GT69|A0A5F8GT69_MONDO
OG0004839	sp|Q9Z0S6|CLD10_MOUSE	tr|A0A5F8GY10|A0A5F8GY10_MONDO
OG0004840	sp|Q80VN0|CP100_MOUSE	tr|A0A5F8GZW4|A0A5F8GZW4_MONDO
OG0004841	sp|Q8K245|UVRAG_MOUSE	tr|A0A5F8H110|A0A5F8H110_MONDO
OG0004842	sp|E9Q9K5|TRDN_MOUSE	tr|A0A5F8H5T1|A0A5F8H5T1_MONDO
OG0004844	sp|Q58A65|JIP4_MOUSE	tr|A0A5F8HE29|A0A5F8HE29_MONDO
OG0004845	sp|P19258|MPV17_MOUSE	tr|A0A5F8HEV8|A0A5F8HEV8_MONDO
OG0004846	sp|Q9Z176|P2R3D_MOUSE	tr|A0A5F8HFK7|A0A5F8HFK7_MONDO
OG0004847	sp|Q9JHI0|MMP19_MOUSE	tr|A0A5F8HLK7|A0A5F8HLK7_MONDO
OG0004848	sp|Q8VDL4|ADPGK_MOUSE	tr|F6R7Y9|F6R7Y9_MONDO
OG0004849	sp|Q9D7L8|TMIG1_MOUSE	tr|F6R9D3|F6R9D3_MONDO
OG0004850	sp|A9Q751|PCDP1_MOUSE	tr|F6RUD2|F6RUD2_MONDO
OG0004851	sp|Q62469|ITA2_MOUSE	tr|F6RXC0|F6RXC0_MONDO
OG0004852	sp|Q80YA7|DPP8_MOUSE	tr|F6SAE7|F6SAE7_MONDO
OG0004853	sp|Q5U431|GPR39_MOUSE	tr|F6SFC1|F6SFC1_MONDO
OG0004854	sp|Q61103|REQU_MOUSE	tr|F6SYY6|F6SYY6_MONDO
OG0004855	sp|Q3USZ8|DIK2A_MOUSE	tr|F6TJE7|F6TJE7_MONDO
OG0004856	sp|P53026|RL10A_MOUSE	tr|F6UB55|F6UB55_MONDO
OG0004857	sp|Q8C3J5|DOCK2_MOUSE	tr|F6UFB1|F6UFB1_MONDO
OG0004858	sp|Q9CQZ5|NDUA6_MOUSE	tr|F6UFT8|F6UFT8_MONDO
OG0004860	sp|Q6P5E8|DGKQ_MOUSE	tr|F6VRH1|F6VRH1_MONDO
OG0004861	sp|P30557|PE2R3_MOUSE	tr|F6VY82|F6VY82_MONDO
OG0004863	sp|Q8C7W7|DCR1B_MOUSE	tr|F6X212|F6X212_MONDO
OG0004864	sp|Q8VDB8|LRRC2_MOUSE	tr|F6X4G9|F6X4G9_MONDO
OG0004865	sp|Q3URK3|TET1_MOUSE	tr|F6XCP8|F6XCP8_MONDO
OG0004866	sp|P35377|OPRX_MOUSE	tr|F6XHC9|F6XHC9_MONDO
OG0004868	sp|Q99P27|PG12B_MOUSE	tr|F6YC85|F6YC85_MONDO
OG0004869	sp|Q9D7V9|NAAA_MOUSE	tr|F6ZHY7|F6ZHY7_MONDO
OG0004870	sp|Q80W54|FACE1_MOUSE	tr|F6ZT41|F6ZT41_MONDO
OG0004871	sp|Q14C59|TM11B_MOUSE	tr|F6ZZE4|F6ZZE4_MONDO
OG0004872	sp|P54830|PTN5_MOUSE	tr|F7AGY7|F7AGY7_MONDO
OG0004873	sp|Q9R0U0|SRS10_MOUSE	tr|F7BP58|F7BP58_MONDO
OG0004874	sp|Q80ZQ3|CH074_MOUSE	tr|F7BRH1|F7BRH1_MONDO
OG0004875	sp|P18762|ADRB2_MOUSE	tr|F7BW45|F7BW45_MONDO
OG0004876	sp|Q9DCA5|BRX1_MOUSE	tr|F7C078|F7C078_MONDO
OG0004877	sp|Q3TAP4|AP5B1_MOUSE	tr|F7C428|F7C428_MONDO
OG0004878	sp|Q8BS40|CPTP_MOUSE	tr|F7CA08|F7CA08_MONDO
OG0004879	tr|A0A571BE98|A0A571BE98_MOUSE	tr|F7CY07|F7CY07_MONDO
OG0004880	sp|Q8BGS0|MAK16_MOUSE	tr|F7DL52|F7DL52_MONDO
OG0004881	sp|Q8VCC9|SPON1_MOUSE	tr|F7EHN2|F7EHN2_MONDO
OG0004882	sp|Q8R4A3|DACT1_MOUSE	tr|F7ELJ9|F7ELJ9_MONDO
OG0004883	sp|P58871|TB182_MOUSE	tr|F7EST8|F7EST8_MONDO
OG0004884	sp|Q05920|PYC_MOUSE	tr|F7ETH0|F7ETH0_MONDO
OG0004885	sp|Q8BH43|WASF2_MOUSE	tr|F7FLU8|F7FLU8_MONDO
OG0004886	sp|Q5DTI8|ESYT3_MOUSE	tr|F7FRN0|F7FRN0_MONDO
OG0004887	sp|Q8BMS9|RASF2_MOUSE	tr|F7FZ12|F7FZ12_MONDO
OG0004888	sp|Q99KZ6|ZN639_MOUSE	tr|F7G3I2|F7G3I2_MONDO
OG0004889	sp|O70146|TESK1_MOUSE	tr|F7GAM2|F7GAM2_MONDO
OG0004890	sp|Q91V79|FITM1_MOUSE	tr|F7GBQ2|F7GBQ2_MONDO
OG0004891	tr|Q9D5B7|Q9D5B7_MOUSE	tr|K7E1L9|K7E1L9_MONDO
OG0004892	sp|Q9R0P9|UCHL1_MOUSE	sp|P50103|UCHL1_MONDO
OG0004894	sp|Q9CQS3|FIBIN_MOUSE	tr|A0A5F8G2K8|A0A5F8G2K8_MONDO
OG0004895	sp|Q8R373|CLMP_MOUSE	tr|A0A5F8G333|A0A5F8G333_MONDO
OG0004896	sp|Q3KQJ0|TMM69_MOUSE	tr|A0A5F8G4T7|A0A5F8G4T7_MONDO
OG0004897	sp|Q9WU42|NCOR2_MOUSE	tr|A0A5F8G874|A0A5F8G874_MONDO
OG0004898	sp|P35441|TSP1_MOUSE	tr|A0A5F8G8T2|A0A5F8G8T2_MONDO
OG0004899	sp|O54818|TPD53_MOUSE	tr|A0A5F8GBN8|A0A5F8GBN8_MONDO
OG0004900	sp|Q8BGN3|ENPP6_MOUSE	tr|A0A5F8GBS0|A0A5F8GBS0_MONDO
OG0004901	sp|Q9R1Z7|PTPS_MOUSE	tr|A0A5F8GKA0|A0A5F8GKA0_MONDO
OG0004902	sp|Q9EQG3|SCEL_MOUSE	tr|A0A5F8GLE9|A0A5F8GLE9_MONDO
OG0004903	sp|P35761|TTK_MOUSE	tr|A0A5F8GM94|A0A5F8GM94_MONDO
OG0004904	sp|Q8K2H3|FA13B_MOUSE	tr|A0A5F8GTD7|A0A5F8GTD7_MONDO
OG0004905	sp|P97503|NKX32_MOUSE	tr|A0A5F8GYS1|A0A5F8GYS1_MONDO
OG0004906	sp|Q8C0D0|TRUB1_MOUSE	tr|A0A5F8H3V1|A0A5F8H3V1_MONDO
OG0004907	sp|Q9CXU0|MED10_MOUSE	tr|A0A5F8HCB8|A0A5F8HCB8_MONDO
OG0004908	sp|Q9CZB3|THUM2_MOUSE	tr|A0A5F8HI10|A0A5F8HI10_MONDO
OG0004909	sp|Q61097|KSR1_MOUSE	tr|A0A5F8HL64|A0A5F8HL64_MONDO
OG0004910	sp|Q3US16|TEANC_MOUSE	tr|A0A5F8HLS0|A0A5F8HLS0_MONDO
OG0004911	sp|Q810J8|ZFYV1_MOUSE	tr|F6PXN5|F6PXN5_MONDO
OG0004912	sp|Q91ZD6|EAF2_MOUSE	tr|F6Q735|F6Q735_MONDO
OG0004913	sp|Q0P5X5|ZBBX_MOUSE	tr|F6QYU2|F6QYU2_MONDO
OG0004914	sp|Q8K368|FANCI_MOUSE	tr|F6R898|F6R898_MONDO
OG0004915	sp|Q9QY31|SNAI3_MOUSE	tr|F6R9U8|F6R9U8_MONDO
OG0004916	sp|Q9D0S9|HINT2_MOUSE	tr|F6RG00|F6RG00_MONDO
OG0004917	sp|Q9QUM0|ITA2B_MOUSE	tr|F6RI44|F6RI44_MONDO
OG0004918	sp|A2AEV7|CC120_MOUSE	tr|F6RU58|F6RU58_MONDO
OG0004919	sp|Q6ZWU9|RS27_MOUSE	tr|F6SM23|F6SM23_MONDO
OG0004920	sp|O08842|GFRA2_MOUSE	tr|F6SZS5|F6SZS5_MONDO
OG0004921	tr|E9Q7C4|E9Q7C4_MOUSE	tr|F6SZW9|F6SZW9_MONDO
OG0004922	sp|Q8R3J5|CHAC1_MOUSE	tr|F6TFR6|F6TFR6_MONDO
OG0004923	sp|Q9ERU3|ZNF22_MOUSE	tr|F6UAU2|F6UAU2_MONDO
OG0004924	sp|Q8CFR0|C1QL2_MOUSE	tr|F6VAR6|F6VAR6_MONDO
OG0004925	sp|Q8VHJ7|PRGC2_MOUSE	tr|F6VCD4|F6VCD4_MONDO
OG0004926	sp|Q9JKC8|AP3M1_MOUSE	tr|F6VQ35|F6VQ35_MONDO
OG0004927	sp|Q80TY0|FNBP1_MOUSE	tr|F6XVG3|F6XVG3_MONDO
OG0004928	sp|A7M7C7|SKOR2_MOUSE	tr|F6ZP40|F6ZP40_MONDO
OG0004929	sp|D3YZI9|PGBD5_MOUSE	tr|F7ADU0|F7ADU0_MONDO
OG0004930	sp|Q8BXJ2|TREF1_MOUSE	tr|F7AYX0|F7AYX0_MONDO
OG0004931	sp|Q8CAA7|PGM2L_MOUSE	tr|F7B0Q5|F7B0Q5_MONDO
OG0004932	sp|Q5SS91|SUN3_MOUSE	tr|F7BKT5|F7BKT5_MONDO
OG0004933	sp|Q9DBA6|TYSD1_MOUSE	tr|F7CEH3|F7CEH3_MONDO
OG0004934	sp|Q60710|SAMH1_MOUSE	tr|F7CIF8|F7CIF8_MONDO
OG0004935	sp|P52875|TM165_MOUSE	tr|F7DL81|F7DL81_MONDO
OG0004936	sp|B2RVY9|TM182_MOUSE	tr|F7DZ90|F7DZ90_MONDO
OG0004938	sp|Q9Z131|3BP5_MOUSE	tr|F7ER25|F7ER25_MONDO
OG0004939	sp|P50405|PSPB_MOUSE	tr|F7F166|F7F166_MONDO
OG0004940	sp|Q9JJ80|RPF2_MOUSE	tr|F7F2B7|F7F2B7_MONDO
OG0004941	sp|O70445|BARD1_MOUSE	tr|F7FET6|F7FET6_MONDO
OG0004942	sp|Q9D7J9|ECHD3_MOUSE	tr|F7GGC2|F7GGC2_MONDO
OG0004943	sp|Q5EBP3|ARMC5_MOUSE	tr|K7E0B1|K7E0B1_MONDO
OG0004944	tr|A2A8R0|A2A8R0_MOUSE	tr|K7E0E0|K7E0E0_MONDO
OG0004945	sp|P54320|ELN_MOUSE	tr|K7E0J3|K7E0J3_MONDO
OG0004946	sp|P35459|LY6D_MOUSE	tr|K7E147|K7E147_MONDO
OG0004947	sp|Q7TSC3|NEK5_MOUSE	tr|K7E673|K7E673_MONDO
OG0004948	sp|P03921|NU5M_MOUSE	tr|Q65CI3|Q65CI3_MONDO
OG0004949	tr|Q80Y37|Q80Y37_MOUSE	tr|A0A5F8G6Y3|A0A5F8G6Y3_MONDO
OG0004950	sp|Q9WTR0|MMP16_MOUSE	tr|A0A5F8G7G6|A0A5F8G7G6_MONDO
OG0004951	sp|Q9EP73|PD1L1_MOUSE	tr|A0A5F8GGG0|A0A5F8GGG0_MONDO
OG0004952	sp|Q8BJK1|KCTD7_MOUSE	tr|A0A5F8GIN8|A0A5F8GIN8_MONDO
OG0004953	sp|Q8K1G2|LBN_MOUSE	tr|A0A5F8GNK7|A0A5F8GNK7_MONDO
OG0004954	sp|P63154|CRNL1_MOUSE	tr|A0A5F8GWV9|A0A5F8GWV9_MONDO
OG0004955	sp|P84104|SRSF3_MOUSE	tr|A0A5F8H2A4|A0A5F8H2A4_MONDO
OG0004956	sp|Q9D826|SOX_MOUSE	tr|A0A5F8H7Q1|A0A5F8H7Q1_MONDO
OG0004957	sp|O08746|MATN2_MOUSE	tr|A0A5F8H906|A0A5F8H906_MONDO
OG0004958	sp|Q9CYH2|PXL2A_MOUSE	tr|A0A5F8HBI4|A0A5F8HBI4_MONDO
OG0004959	tr|A0A140LJJ2|A0A140LJJ2_MOUSE	tr|A0A5F8HDH8|A0A5F8HDH8_MONDO
OG0004960	sp|P28078|DMA_MOUSE	tr|A0A5F8HFC2|A0A5F8HFC2_MONDO
OG0004961	sp|Q9CRB9|MIC19_MOUSE	tr|A0A5F8HK13|A0A5F8HK13_MONDO
OG0004962	sp|Q8BLG2|LPAR4_MOUSE	tr|F6PHG9|F6PHG9_MONDO
OG0004963	sp|Q8C708|CP054_MOUSE	tr|F6PIS1|F6PIS1_MONDO
OG0004964	sp|Q9EPE9|AT131_MOUSE	tr|F6QGH4|F6QGH4_MONDO
OG0004965	sp|Q62395|TFF3_MOUSE	tr|F6QZD4|F6QZD4_MONDO
OG0004966	sp|Q9CXV9|DCNL5_MOUSE	tr|F6S901|F6S901_MONDO
OG0004967	sp|Q3U319|BRE1B_MOUSE	tr|F6SQS9|F6SQS9_MONDO
OG0004968	tr|A0A2R8VKG2|A0A2R8VKG2_MOUSE	tr|F6SYD0|F6SYD0_MONDO
OG0004969	sp|Q91YJ5|IF2M_MOUSE	tr|F6T523|F6T523_MONDO
OG0004970	sp|P25688|URIC_MOUSE	tr|F6TUB3|F6TUB3_MONDO
OG0004971	sp|Q05BQ1|TUTLA_MOUSE	tr|F6U9U7|F6U9U7_MONDO
OG0004972	tr|Q8BJX2|Q8BJX2_MOUSE	tr|F6VU14|F6VU14_MONDO
OG0004973	sp|Q8CH18|CCAR1_MOUSE	tr|F6VYZ1|F6VYZ1_MONDO
OG0004974	sp|Q8K467|TMIE_MOUSE	tr|F6W9C4|F6W9C4_MONDO
OG0004975	tr|Q9D4E9|Q9D4E9_MOUSE	tr|F6WH69|F6WH69_MONDO
OG0004976	sp|Q61999|ODFP1_MOUSE	tr|F6XD73|F6XD73_MONDO
OG0004977	sp|Q8R5L3|VPS39_MOUSE	tr|F6XYZ3|F6XYZ3_MONDO
OG0004978	sp|Q8CB27|OTU1_MOUSE	tr|F6YEW2|F6YEW2_MONDO
OG0004980	sp|Q8VIK1|SNR25_MOUSE	tr|F6ZCB0|F6ZCB0_MONDO
OG0004981	sp|Q8R3N2|MFS6L_MOUSE	tr|F6ZYJ0|F6ZYJ0_MONDO
OG0004982	sp|Q8C570|RAE1L_MOUSE	tr|F7A424|F7A424_MONDO
OG0004983	sp|Q920N7|SYT12_MOUSE	tr|F7A959|F7A959_MONDO
OG0004984	sp|P58043|SESN2_MOUSE	tr|F7ARK8|F7ARK8_MONDO
OG0004985	sp|Q8C0E3|TRI47_MOUSE	tr|F7BKB4|F7BKB4_MONDO
OG0004986	sp|Q8CDI7|CC150_MOUSE	tr|F7CXY8|F7CXY8_MONDO
OG0004987	sp|Q8VEK3|HNRPU_MOUSE	tr|F7E3Z9|F7E3Z9_MONDO
OG0004988	sp|Q3V3Q7|PACS2_MOUSE	tr|F7E808|F7E808_MONDO
OG0004989	sp|Q9D618|KBTBC_MOUSE	tr|F7EA03|F7EA03_MONDO
OG0004990	sp|Q8VC74|COX18_MOUSE	tr|F7EC75|F7EC75_MONDO
OG0004991	sp|Q9CRB3|HIUH_MOUSE	tr|F7EG90|F7EG90_MONDO
OG0004992	sp|Q80XC2|TRM61_MOUSE	tr|F7F8B1|F7F8B1_MONDO
OG0004993	sp|P81067|IRX3_MOUSE	tr|F7FAB5|F7FAB5_MONDO
OG0004994	sp|Q8BGD8|COA6_MOUSE	tr|F7FG29|F7FG29_MONDO
OG0004995	sp|Q9WV86|KTNA1_MOUSE	tr|F7FII4|F7FII4_MONDO
OG0004996	sp|Q9DBI2|BBS10_MOUSE	tr|F7FJJ6|F7FJJ6_MONDO
OG0004997	sp|Q91WZ8|DTBP1_MOUSE	tr|F7FK78|F7FK78_MONDO
OG0004998	tr|Q7TQU7|Q7TQU7_MOUSE	tr|F7FKJ6|F7FKJ6_MONDO
OG0004999	sp|Q9D4Q1|RIBC2_MOUSE	tr|F7FQY6|F7FQY6_MONDO
OG0005000	sp|Q0MW30|NEU1B_MOUSE	tr|F7FS46|F7FS46_MONDO
OG0005001	sp|Q9JK91|MLH1_MOUSE	tr|F7GA57|F7GA57_MONDO
OG0005002	sp|Q9D924|ISCA1_MOUSE	tr|F7GBC0|F7GBC0_MONDO
OG0005003	sp|Q8C5W3|TBCEL_MOUSE	tr|F7GBG6|F7GBG6_MONDO
OG0005004	sp|P09602|HMGN2_MOUSE	tr|F7GFJ8|F7GFJ8_MONDO
OG0005005	sp|Q8CGW9|DMRTD_MOUSE	tr|H9H6D2|H9H6D2_MONDO
OG0005006	sp|Q7TPG5|TAFA4_MOUSE	tr|K7DZQ7|K7DZQ7_MONDO
OG0005007	sp|Q8C754|VPS52_MOUSE	tr|A0A5F8G2L8|A0A5F8G2L8_MONDO
OG0005008	sp|Q8K093|TRHDE_MOUSE	tr|A0A5F8G9Y3|A0A5F8G9Y3_MONDO
OG0005009	sp|Q9DAE7|CK097_MOUSE	tr|A0A5F8GHX9|A0A5F8GHX9_MONDO
OG0005010	sp|Q925Q5|GPHA2_MOUSE	tr|A0A5F8GII7|A0A5F8GII7_MONDO
OG0005011	sp|O08575|EYA2_MOUSE	tr|A0A5F8GKY1|A0A5F8GKY1_MONDO
OG0005012	sp|Q8BUL6|PKHA1_MOUSE	tr|A0A5F8GN02|A0A5F8GN02_MONDO
OG0005013	sp|P60761|NEUG_MOUSE	tr|A0A5F8GN71|A0A5F8GN71_MONDO
OG0005014	sp|Q99LW0|ANR10_MOUSE	tr|A0A5F8GNR1|A0A5F8GNR1_MONDO
OG0005015	sp|Q52KF3|SPIR1_MOUSE	tr|A0A5F8GPS7|A0A5F8GPS7_MONDO
OG0005016	sp|O54865|GCYB1_MOUSE	tr|A0A5F8GR77|A0A5F8GR77_MONDO
OG0005017	sp|P53395|ODB2_MOUSE	tr|A0A5F8GUX4|A0A5F8GUX4_MONDO
OG0005018	sp|Q9CQK7|RWDD1_MOUSE	tr|A0A5F8GXW4|A0A5F8GXW4_MONDO
OG0005019	tr|A2AJW5|A2AJW5_MOUSE	tr|A0A5F8GYC4|A0A5F8GYC4_MONDO
OG0005020	sp|Q8BYA0|TBCD_MOUSE	tr|A0A5F8GYY1|A0A5F8GYY1_MONDO
OG0005021	sp|Q9QXE5|TSSP_MOUSE	tr|A0A5F8GZ97|A0A5F8GZ97_MONDO
OG0005022	sp|P18872|GNAO_MOUSE	tr|A0A5F8H0W0|A0A5F8H0W0_MONDO
OG0005023	sp|Q9D1I5|MCEE_MOUSE	tr|A0A5F8H490|A0A5F8H490_MONDO
OG0005024	sp|Q8VDK3|ELF5_MOUSE	tr|A0A5F8H5A4|A0A5F8H5A4_MONDO
OG0005025	sp|Q05A80|CAPR2_MOUSE	tr|A0A5F8H648|A0A5F8H648_MONDO
OG0005026	sp|Q8BUP8|FA43A_MOUSE	tr|A0A5F8HHW4|A0A5F8HHW4_MONDO
OG0005027	sp|B1AXV0|FRS1L_MOUSE	tr|F6PM30|F6PM30_MONDO
OG0005028	sp|Q9JHG0|CBLN3_MOUSE	tr|F6Q5E8|F6Q5E8_MONDO
OG0005029	sp|O70576|STAG3_MOUSE	tr|F6RTQ1|F6RTQ1_MONDO
OG0005030	sp|Q3UKZ7|A14EL_MOUSE	tr|F6S6Y0|F6S6Y0_MONDO
OG0005031	sp|Q9JJR5|AKIP1_MOUSE	tr|F6UIM9|F6UIM9_MONDO
OG0005032	sp|Q61550|RAD21_MOUSE	tr|F6UVJ1|F6UVJ1_MONDO
OG0005033	sp|Q8R242|DIAC_MOUSE	tr|F6VAP2|F6VAP2_MONDO
OG0005034	sp|Q811F1|ZBT41_MOUSE	tr|F6VG42|F6VG42_MONDO
OG0005035	sp|Q5SUA5|MYO1G_MOUSE	tr|F6WD62|F6WD62_MONDO
OG0005036	sp|Q9D7W5|MED8_MOUSE	tr|F6WJD4|F6WJD4_MONDO
OG0005037	sp|Q8BRH3|RHG19_MOUSE	tr|F6WP80|F6WP80_MONDO
OG0005038	sp|Q4KL25|LHPL5_MOUSE	tr|F6X7Q0|F6X7Q0_MONDO
OG0005039	sp|Q8CDF7|EXD1_MOUSE	tr|F6XAA5|F6XAA5_MONDO
OG0005040	sp|Q3KNJ2|NHEJ1_MOUSE	tr|F6XER3|F6XER3_MONDO
OG0005041	sp|Q6NS82|RETR2_MOUSE	tr|F6XXI9|F6XXI9_MONDO
OG0005042	sp|Q9ERB0|SNP29_MOUSE	tr|F6Z4J1|F6Z4J1_MONDO
OG0005043	sp|Q8BTK5|SMYD4_MOUSE	tr|F6ZF19|F6ZF19_MONDO
OG0005044	sp|P60840|ENSA_MOUSE	tr|F6ZMD5|F6ZMD5_MONDO
OG0005045	tr|A0A5F8MPL8|A0A5F8MPL8_MOUSE	tr|F6ZR88|F6ZR88_MONDO
OG0005046	sp|Q9JLI6|SCLY_MOUSE	tr|F6ZRQ0|F6ZRQ0_MONDO
OG0005047	sp|Q8VCE2|GPN1_MOUSE	tr|F6ZUF6|F6ZUF6_MONDO
OG0005048	sp|Q33DR3|DLP1_MOUSE	tr|F7AKH1|F7AKH1_MONDO
OG0005049	tr|G3UYY4|G3UYY4_MOUSE	tr|F7AM72|F7AM72_MONDO
OG0005050	sp|Q91YI6|GLD2_MOUSE	tr|F7AP18|F7AP18_MONDO
OG0005051	sp|Q99M28|RNPS1_MOUSE	tr|F7B375|F7B375_MONDO
OG0005052	sp|Q9WUQ2|PREB_MOUSE	tr|F7B5V1|F7B5V1_MONDO
OG0005053	sp|Q5HZI9|S2551_MOUSE	tr|F7BG29|F7BG29_MONDO
OG0005054	sp|Q99NH0|ANR17_MOUSE	tr|F7BK37|F7BK37_MONDO
OG0005055	sp|P09405|NUCL_MOUSE	tr|F7BWB5|F7BWB5_MONDO
OG0005056	sp|Q3TCT4|ENTP7_MOUSE	tr|F7C8K3|F7C8K3_MONDO
OG0005057	sp|O35239|PTN9_MOUSE	tr|F7CAT6|F7CAT6_MONDO
OG0005058	sp|Q91WE1|SNX15_MOUSE	tr|F7CI47|F7CI47_MONDO
OG0005059	sp|P59017|B2L13_MOUSE	tr|F7CU62|F7CU62_MONDO
OG0005060	sp|P81183|IKZF2_MOUSE	tr|F7E1C9|F7E1C9_MONDO
OG0005061	sp|Q91ZM9|DOK5_MOUSE	tr|F7E8P9|F7E8P9_MONDO
OG0005062	sp|P10287|CADH3_MOUSE	tr|F7EGB5|F7EGB5_MONDO
OG0005063	sp|Q8BMA5|NPAT_MOUSE	tr|F7EQA1|F7EQA1_MONDO
OG0005064	sp|Q91ZJ0|MUS81_MOUSE	tr|F7FIB9|F7FIB9_MONDO
OG0005065	tr|A0A286YCX6|A0A286YCX6_MOUSE	tr|F7FW28|F7FW28_MONDO
OG0005066	sp|Q8BH26|TM251_MOUSE	tr|F7G3F2|F7G3F2_MONDO
OG0005067	sp|Q9QYE6|GOGA5_MOUSE	tr|F7GEH2|F7GEH2_MONDO
OG0005068	sp|P62281|RS11_MOUSE	tr|F7GIM6|F7GIM6_MONDO
OG0005069	sp|Q9D0B8|RIBC1_MOUSE	tr|H9H7Q0|H9H7Q0_MONDO
OG0005070	sp|Q5SUV1|RSAD1_MOUSE	tr|H9H7R7|H9H7R7_MONDO
OG0005071	sp|Q9D8C3|ALG13_MOUSE	tr|K7E2G1|K7E2G1_MONDO
OG0005072	sp|P48756|GIP_MOUSE	tr|K7E4A9|K7E4A9_MONDO
OG0005073	sp|O35386|PAHX_MOUSE	tr|A0A5F8G3U4|A0A5F8G3U4_MONDO
OG0005074	sp|Q78RX3|SIM12_MOUSE	tr|A0A5F8G9Z7|A0A5F8G9Z7_MONDO
OG0005075	sp|P20033|PDGFA_MOUSE	tr|A0A5F8GF15|A0A5F8GF15_MONDO
OG0005076	sp|Q60648|SAP3_MOUSE	tr|A0A5F8GF89|A0A5F8GF89_MONDO
OG0005077	tr|A0A0A6YW67|A0A0A6YW67_MOUSE	tr|A0A5F8GFF8|A0A5F8GFF8_MONDO
OG0005078	sp|Q8C3S2|TNG6_MOUSE	tr|A0A5F8GJE4|A0A5F8GJE4_MONDO
OG0005079	sp|Q8VIJ6|SFPQ_MOUSE	tr|A0A5F8GPT0|A0A5F8GPT0_MONDO
OG0005080	sp|Q8R1Q9|RBSK_MOUSE	tr|A0A5F8GRS0|A0A5F8GRS0_MONDO
OG0005081	sp|Q9QZI9|SERC3_MOUSE	tr|A0A5F8GV19|A0A5F8GV19_MONDO
OG0005082	sp|P04351|IL2_MOUSE	tr|A0A5F8GY47|A0A5F8GY47_MONDO
OG0005083	sp|Q8R5M2|WNT9A_MOUSE	tr|A0A5F8GZD7|A0A5F8GZD7_MONDO
OG0005084	sp|Q9Z1X0|CCL27_MOUSE	tr|A0A5F8GZJ9|A0A5F8GZJ9_MONDO
OG0005085	sp|Q8BGR2|LRC8D_MOUSE	tr|A0A5F8HD08|A0A5F8HD08_MONDO
OG0005086	sp|Q9JKV5|SCAM4_MOUSE	tr|A0A5F8HEZ4|A0A5F8HEZ4_MONDO
OG0005088	sp|P35550|FBRL_MOUSE	tr|F6QP22|F6QP22_MONDO
OG0005089	sp|Q3V038|TTC9A_MOUSE	tr|F6RD84|F6RD84_MONDO
OG0005090	sp|Q9WTP9|VAX2_MOUSE	tr|F6RLS7|F6RLS7_MONDO
OG0005091	sp|Q99J10|CTU1_MOUSE	tr|F6RN02|F6RN02_MONDO
OG0005092	sp|P70196|TRAF6_MOUSE	tr|F6SAI1|F6SAI1_MONDO
OG0005093	sp|B2RXC1|TPC11_MOUSE	tr|F6SXZ4|F6SXZ4_MONDO
OG0005094	sp|Q70IV5|SYNEM_MOUSE	tr|F6T078|F6T078_MONDO
OG0005095	tr|Q8VGU9|Q8VGU9_MOUSE	tr|F6U0G3|F6U0G3_MONDO
OG0005096	sp|Q9ESC7|YPEL1_MOUSE	tr|F6U4R6|F6U4R6_MONDO
OG0005097	sp|Q9ESS0|DUS10_MOUSE	tr|F6U725|F6U725_MONDO
OG0005098	sp|Q8CEC6|PPWD1_MOUSE	tr|F6UAL2|F6UAL2_MONDO
OG0005099	sp|Q91WU6|ZDHC7_MOUSE	tr|F6UNB8|F6UNB8_MONDO
OG0005100	sp|Q8K209|AGRG1_MOUSE	tr|F6VQE0|F6VQE0_MONDO
OG0005101	sp|Q8BW93|C5AR2_MOUSE	tr|F6VWU6|F6VWU6_MONDO
