Orthogroup	Mus_musculus	Oryctolagus_cuniculus
OG0007451	sp|Q9EPQ2|RPGR1_MOUSE	tr|G1SZZ8|G1SZZ8_RABIT
OG0007452	sp|Q9ERS6|IRPL2_MOUSE	tr|G1SHX6|G1SHX6_RABIT
OG0007453	sp|Q9JLQ2|GIT2_MOUSE	tr|A0A5F9D975|A0A5F9D975_RABIT
OG0007454	sp|Q9QZ88|VPS29_MOUSE	tr|A0A5F9CHI4|A0A5F9CHI4_RABIT
OG0007455	sp|Q9R0Q1|SYTL4_MOUSE	tr|G1T0U2|G1T0U2_RABIT
OG0007456	sp|Q9WUP7|UCHL5_MOUSE	tr|G1TCB7|G1TCB7_RABIT
OG0007457	sp|Q9Z186|G6PC2_MOUSE	tr|G1SFA2|G1SFA2_RABIT
OG0007458	tr|A2ADM8|A2ADM8_MOUSE	tr|G1TCI9|G1TCI9_RABIT
OG0007459	tr|B2RX31|B2RX31_MOUSE	tr|G1SU44|G1SU44_RABIT
OG0007460	tr|E9PZQ1|E9PZQ1_MOUSE	tr|G1SQV4|G1SQV4_RABIT
OG0007461	sp|E9Q784|ZC3HD_MOUSE	tr|G1TV15|G1TV15_RABIT
OG0007462	sp|O54890|ITB3_MOUSE	tr|A0A5F9CHW0|A0A5F9CHW0_RABIT
OG0007463	sp|O70157|TOP3A_MOUSE	tr|G1SQY7|G1SQY7_RABIT
OG0007464	sp|P10287|CADH3_MOUSE	tr|A0A5F9DDS5|A0A5F9DDS5_RABIT
OG0007465	sp|P15331|PERI_MOUSE	tr|G1SQI2|G1SQI2_RABIT
OG0007466	sp|P43252|PI2R_MOUSE	tr|G1TSS1|G1TSS1_RABIT
OG0007467	sp|P43267|SOX15_MOUSE	tr|G1TGC8|G1TGC8_RABIT
OG0007468	sp|P48030|TGFA_MOUSE	tr|A0A5F9CP63|A0A5F9CP63_RABIT
OG0007469	sp|Q00LT2|PRCD_MOUSE	tr|A0A5F9D392|A0A5F9D392_RABIT
OG0007470	sp|Q3ULB5|PAK6_MOUSE	tr|G1U2J1|G1U2J1_RABIT
OG0007471	sp|Q3V3R1|C1TM_MOUSE	tr|G1SIB2|G1SIB2_RABIT
OG0007472	sp|Q3ZT31|SNX25_MOUSE	tr|G1TZU8|G1TZU8_RABIT
OG0007473	sp|Q4QQM4|P5I11_MOUSE	tr|G1SF61|G1SF61_RABIT
OG0007474	sp|Q5DTX6|JCAD_MOUSE	tr|G1T6Q5|G1T6Q5_RABIT
OG0007475	sp|Q5RJ54|ZSC26_MOUSE	tr|G1TCI0|G1TCI0_RABIT
OG0007476	sp|Q5Y5T2|ZDH18_MOUSE	tr|G1SQX8|G1SQX8_RABIT
OG0007477	sp|Q60841|RELN_MOUSE	tr|G1SWG7|G1SWG7_RABIT
OG0007478	sp|Q61187|TS101_MOUSE	tr|A0A5F9CE76|A0A5F9CE76_RABIT
OG0007479	sp|Q69Z89|RADIL_MOUSE	tr|A0A5F9DPY5|A0A5F9DPY5_RABIT
OG0007480	sp|Q7TS72|IP3KC_MOUSE	tr|G1STY5|G1STY5_RABIT
OG0007481	sp|Q8BG93|NUD15_MOUSE	tr|G1ST20|G1ST20_RABIT
OG0007482	sp|Q8BHK6|SLAF7_MOUSE	tr|G1T5N1|G1T5N1_RABIT
OG0007483	sp|Q8BZ36|RINT1_MOUSE	tr|G1T579|G1T579_RABIT
OG0007484	sp|Q8C6N3|SYT15_MOUSE	tr|G1SLQ1|G1SLQ1_RABIT
OG0007485	sp|Q8CBB2|S15A5_MOUSE	tr|G1T5I5|G1T5I5_RABIT
OG0007486	sp|Q8CDV0|CC178_MOUSE	tr|G1SWJ2|G1SWJ2_RABIT
OG0007487	sp|Q8CHW1|THAP1_MOUSE	tr|G1SFB6|G1SFB6_RABIT
OG0007488	sp|Q8K1Y2|KPCD3_MOUSE	tr|G1SSZ9|G1SSZ9_RABIT
OG0007489	sp|Q8K4T5|DUS19_MOUSE	tr|G1T4U3|G1T4U3_RABIT
OG0007490	sp|Q8R2R3|AAGAB_MOUSE	tr|G1SRE7|G1SRE7_RABIT
OG0007491	sp|Q8VEH5|EPMIP_MOUSE	tr|G1TQA4|G1TQA4_RABIT
OG0007492	sp|Q91ZB0|ALPK2_MOUSE	tr|G1T327|G1T327_RABIT
OG0007493	sp|Q924C6|LOXL4_MOUSE	tr|A0A5F9CVG4|A0A5F9CVG4_RABIT
OG0007494	sp|Q99NH0|ANR17_MOUSE	tr|G1U993|G1U993_RABIT
OG0007495	sp|Q9CQ94|DNJ5B_MOUSE	tr|G1ST80|G1ST80_RABIT
OG0007496	sp|Q9CQJ7|PTTG1_MOUSE	tr|G1T8A3|G1T8A3_RABIT
OG0007497	sp|Q9CR61|NDUB7_MOUSE	tr|G1U7A6|G1U7A6_RABIT
OG0007498	sp|Q9D0B0|SRSF9_MOUSE	tr|G1U7U5|G1U7U5_RABIT
OG0007499	sp|Q9D0V7|RCAS1_MOUSE	tr|G1SMD9|G1SMD9_RABIT
OG0007500	sp|Q9DCF1|TMM25_MOUSE	tr|G1TXC5|G1TXC5_RABIT
OG0007501	sp|Q9EQ15|GNB1L_MOUSE	tr|G1TGT0|G1TGT0_RABIT
OG0007502	sp|Q9JJF0|NP1L5_MOUSE	tr|G1SUB1|G1SUB1_RABIT
OG0007503	sp|Q9JKY0|CNOT9_MOUSE	tr|G1TIP3|G1TIP3_RABIT
OG0007504	sp|Q9WTP2|SPY4_MOUSE	tr|G1TNI7|G1TNI7_RABIT
OG0007506	tr|A0A5F8MPV9|A0A5F8MPV9_MOUSE	tr|G1SQ24|G1SQ24_RABIT
OG0007507	sp|A6H639|DRC5_MOUSE	tr|G1TEP4|G1TEP4_RABIT
OG0007508	tr|B2RT41|B2RT41_MOUSE	tr|G1U537|G1U537_RABIT
OG0007509	sp|B8JKV0|AMN1_MOUSE	tr|A0A5F9D6Z8|A0A5F9D6Z8_RABIT
OG0007510	sp|B9EHT4|CLIP3_MOUSE	tr|G1TSQ8|G1TSQ8_RABIT
OG0007511	sp|E9Q286|ICE1_MOUSE	tr|G1U6T2|G1U6T2_RABIT
OG0007512	tr|E9Q6K3|E9Q6K3_MOUSE	tr|G1SRH0|G1SRH0_RABIT
OG0007513	sp|G5E861|SCLT1_MOUSE	tr|G1T8P8|G1T8P8_RABIT
OG0007514	sp|O08918|CCNG2_MOUSE	tr|G1SV18|G1SV18_RABIT
OG0007515	sp|O70274|TP4A2_MOUSE	tr|A0A5F9DNW0|A0A5F9DNW0_RABIT
OG0007516	sp|O88630|GOSR1_MOUSE	tr|G1SG37|G1SG37_RABIT
OG0007517	sp|O88845|AKA10_MOUSE	tr|A0A5F9CMG1|A0A5F9CMG1_RABIT
OG0007518	sp|P06240|LCK_MOUSE	tr|G1SK64|G1SK64_RABIT
OG0007519	sp|P06837|NEUM_MOUSE	tr|A0A5F9CXN2|A0A5F9CXN2_RABIT
OG0007520	sp|P10922|H10_MOUSE	tr|A0A5F9DB66|A0A5F9DB66_RABIT
OG0007521	sp|P34022|RANG_MOUSE	tr|G1TH06|G1TH06_RABIT
OG0007522	sp|P39655|LOX12_MOUSE	tr|G1U492|G1U492_RABIT
OG0007523	sp|P48759|PTX3_MOUSE	tr|G1SYN4|G1SYN4_RABIT
OG0007524	sp|P53810|PIPNA_MOUSE	sp|P48738|PIPNA_RABIT
OG0007525	sp|P62812|GBRA1_MOUSE	tr|A0A5F9DVB6|A0A5F9DVB6_RABIT
OG0007526	sp|P63250|KCNJ3_MOUSE	tr|G1TTQ7|G1TTQ7_RABIT
OG0007527	sp|P70365|NCOA1_MOUSE	tr|G1T9E7|G1T9E7_RABIT
OG0007528	sp|Q00PI9|HNRL2_MOUSE	tr|G1SXA5|G1SXA5_RABIT
OG0007529	sp|Q02248|CTNB1_MOUSE	tr|A0A5F9CH47|A0A5F9CH47_RABIT
OG0007530	sp|Q3U155|CC174_MOUSE	tr|G1SV71|G1SV71_RABIT
OG0007531	sp|Q3UFF7|LYPL1_MOUSE	tr|G1SD73|G1SD73_RABIT
OG0007533	sp|Q3UYV9|NCBP1_MOUSE	tr|G1T696|G1T696_RABIT
OG0007534	sp|Q3V3A1|CDK15_MOUSE	tr|G1STP1|G1STP1_RABIT
OG0007535	sp|Q4LDG0|S27A5_MOUSE	tr|G1U7D9|G1U7D9_RABIT
OG0007536	tr|Q5I0V9|Q5I0V9_MOUSE	tr|G1TU52|G1TU52_RABIT
OG0007537	sp|Q61657|HES3_MOUSE	tr|G1U397|G1U397_RABIT
OG0007538	sp|Q69ZT9|TBC30_MOUSE	tr|A0A5F9DG43|A0A5F9DG43_RABIT
OG0007539	sp|Q69ZU6|THS7A_MOUSE	tr|A0A5F9DHM0|A0A5F9DHM0_RABIT
OG0007540	sp|Q6NS86|ZN366_MOUSE	tr|G1SM22|G1SM22_RABIT
OG0007541	sp|Q6NWW5|KIF24_MOUSE	tr|G1TSX4|G1TSX4_RABIT
OG0007542	sp|Q6WKZ8|UBR2_MOUSE	tr|G1TEU6|G1TEU6_RABIT
OG0007543	sp|Q791T5|MTCH1_MOUSE	tr|G1TTA5|G1TTA5_RABIT
OG0007544	sp|Q80U56|AVL9_MOUSE	tr|A0A5F9DH47|A0A5F9DH47_RABIT
OG0007545	sp|Q80YY7|ZN618_MOUSE	tr|G1SIC1|G1SIC1_RABIT
OG0007546	sp|Q8BFV2|PCID2_MOUSE	tr|G1SXI8|G1SXI8_RABIT
OG0007547	sp|Q8BHI9|NIM1_MOUSE	tr|U3KM11|U3KM11_RABIT
OG0007548	sp|Q8BTP0|PIGZ_MOUSE	tr|G1TPC3|G1TPC3_RABIT
OG0007549	sp|Q8BTX9|HSDL1_MOUSE	tr|G1T8E7|G1T8E7_RABIT
OG0007550	sp|Q8C138|ADTRP_MOUSE	tr|A0A5F9CGA4|A0A5F9CGA4_RABIT
OG0007551	sp|Q8C2E7|WASC5_MOUSE	tr|G1TA82|G1TA82_RABIT
OG0007552	sp|Q8C8M1|SHCAF_MOUSE	tr|A0A5F9D7Y5|A0A5F9D7Y5_RABIT
OG0007553	sp|Q8CGM2|RP1L1_MOUSE	tr|G1SZK6|G1SZK6_RABIT
OG0007554	sp|Q8VCN5|CGL_MOUSE	tr|G1ST90|G1ST90_RABIT
OG0007555	sp|Q8VDK1|NIT1_MOUSE	tr|G1SHF3|G1SHF3_RABIT
OG0007556	sp|Q920Q8|NS1BP_MOUSE	tr|G1T1E0|G1T1E0_RABIT
OG0007557	sp|Q9CZB9|TM128_MOUSE	tr|G1THC8|G1THC8_RABIT
OG0007558	sp|Q9D0F3|LMAN1_MOUSE	tr|G1U5L3|G1U5L3_RABIT
OG0007559	sp|Q9D820|PRXD1_MOUSE	tr|G1T1R0|G1T1R0_RABIT
OG0007560	sp|Q9JKT3|TA2R4_MOUSE	tr|G1SKF6|G1SKF6_RABIT
OG0007561	sp|Q9QZ06|TOLIP_MOUSE	tr|G1TMW2|G1TMW2_RABIT
OG0007562	sp|Q9WTZ0|UXT_MOUSE	tr|G1SZH1|G1SZH1_RABIT
OG0007563	sp|Q9WUM4|COR1C_MOUSE	tr|G1TRH5|G1TRH5_RABIT
OG0007564	tr|A0A140LJ24|A0A140LJ24_MOUSE	tr|A0A5F9DI94|A0A5F9DI94_RABIT
OG0007565	sp|A2A6H3|FBX47_MOUSE	tr|G1T6D5|G1T6D5_RABIT
OG0007566	tr|E9Q7P1|E9Q7P1_MOUSE	tr|G1SVR5|G1SVR5_RABIT
OG0007567	sp|F6XZJ7|SAM15_MOUSE	tr|G1U6H5|G1U6H5_RABIT
OG0007568	sp|G3XA59|LRC32_MOUSE	tr|G1T9B7|G1T9B7_RABIT
OG0007569	sp|O08983|HPS1_MOUSE	tr|G1SFT6|G1SFT6_RABIT
OG0007570	sp|O09035|DBIL5_MOUSE	tr|G1SH21|G1SH21_RABIT
OG0007571	sp|O88632|SEM3F_MOUSE	tr|G1T1R2|G1T1R2_RABIT
OG0007572	sp|O88855|LT4R1_MOUSE	tr|G1U4T1|G1U4T1_RABIT
OG0007573	sp|O89016|ABCD4_MOUSE	tr|A0A5F9CIJ8|A0A5F9CIJ8_RABIT
OG0007574	sp|P01731|CD8A_MOUSE	tr|A0A5F9DHI5|A0A5F9DHI5_RABIT
OG0007575	sp|P0C242|CCNO_MOUSE	tr|G1SQY4|G1SQY4_RABIT
OG0007576	sp|P16382|IL4RA_MOUSE	tr|G1SD28|G1SD28_RABIT
OG0007577	sp|P18761|CAH6_MOUSE	tr|G1T3M6|G1T3M6_RABIT
OG0007578	sp|P41539|TKN1_MOUSE	sp|P41540|TKN1_RABIT
OG0007579	sp|P48787|TNNI3_MOUSE	sp|P02646|TNNI3_RABIT
OG0007580	sp|P55284|CADH5_MOUSE	tr|G1SYT1|G1SYT1_RABIT
OG0007581	sp|Q3TY92|MBD6_MOUSE	tr|G1T0Y5|G1T0Y5_RABIT
OG0007582	sp|Q505D1|ANR28_MOUSE	tr|G1SVF7|G1SVF7_RABIT
OG0007583	sp|Q5QNQ6|OSBP2_MOUSE	tr|G1TEJ7|G1TEJ7_RABIT
OG0007584	sp|Q60793|KLF4_MOUSE	tr|G1SPX5|G1SPX5_RABIT
OG0007585	sp|Q6DFX2|ANTR2_MOUSE	tr|A0A5F9DHV7|A0A5F9DHV7_RABIT
OG0007586	sp|Q6P5F9|XPO1_MOUSE	tr|A0A5F9C561|A0A5F9C561_RABIT
OG0007587	sp|Q80UJ7|RB3GP_MOUSE	tr|A0A5F9DRF2|A0A5F9DRF2_RABIT
OG0007588	sp|Q8BG32|PSD11_MOUSE	tr|G1SVA3|G1SVA3_RABIT
OG0007589	sp|Q8BPW0|IQCJ_MOUSE	tr|G1U6P1|G1U6P1_RABIT
OG0007590	sp|Q8BQC3|IGDC3_MOUSE	tr|G1SD13|G1SD13_RABIT
OG0007591	sp|Q8BX65|MDFIC_MOUSE	tr|B7NZU8|B7NZU8_RABIT
OG0007592	sp|Q8C0N2|GPAT3_MOUSE	tr|A0A5F9DR96|A0A5F9DR96_RABIT
OG0007593	sp|Q8C2S7|AMGO3_MOUSE	tr|G1U8N2|G1U8N2_RABIT
OG0007594	sp|Q8C7R4|UBA6_MOUSE	tr|G1T466|G1T466_RABIT
OG0007595	sp|Q8CG03|PDE5A_MOUSE	tr|G1SX67|G1SX67_RABIT
OG0007596	sp|Q8K013|GTPBA_MOUSE	tr|A0A5F9DQH2|A0A5F9DQH2_RABIT
OG0007597	sp|Q8K1L0|CREB5_MOUSE	tr|A0A5F9CNY2|A0A5F9CNY2_RABIT
OG0007598	sp|Q8R5A3|AB1IP_MOUSE	tr|G1SPS9|G1SPS9_RABIT
OG0007599	sp|Q91VM4|SPNS2_MOUSE	tr|G1T2J8|G1T2J8_RABIT
OG0007600	sp|Q922T2|MFAP3_MOUSE	tr|G1U314|G1U314_RABIT
OG0007601	sp|Q99LB6|MAT2B_MOUSE	tr|A0A5F9C7I9|A0A5F9C7I9_RABIT
OG0007602	tr|Q99NB3|Q99NB3_MOUSE	tr|G1TGQ3|G1TGQ3_RABIT
OG0007603	sp|Q9D0T2|DUS12_MOUSE	tr|G1SU32|G1SU32_RABIT
OG0007604	sp|Q9D2Q2|TRM44_MOUSE	tr|G1TJ55|G1TJ55_RABIT
OG0007605	sp|Q9D4J1|EFHD1_MOUSE	tr|A0A5F9C265|A0A5F9C265_RABIT
OG0007606	sp|Q9D975|SRXN1_MOUSE	tr|G1TWX9|G1TWX9_RABIT
OG0007607	sp|Q9JIW4|DPOLM_MOUSE	tr|U3KMM5|U3KMM5_RABIT
OG0007608	sp|Q9JKK7|TMOD2_MOUSE	tr|A0A5F9D3E6|A0A5F9D3E6_RABIT
OG0007609	sp|Q9QYI4|DJB12_MOUSE	tr|G1TDM0|G1TDM0_RABIT
OG0007610	sp|Q9R1Z8|VINEX_MOUSE	tr|G1U1T9|G1U1T9_RABIT
OG0007611	sp|Q9WV34|MPP2_MOUSE	tr|A0A5F9DAZ4|A0A5F9DAZ4_RABIT
OG0007612	tr|Q9Z1A1|Q9Z1A1_MOUSE	tr|U3KLW8|U3KLW8_RABIT
OG0007613	sp|Q9Z277|BAZ1B_MOUSE	tr|A0A5F9C3Z5|A0A5F9C3Z5_RABIT
OG0007614	sp|Q9Z2B3|RGR_MOUSE	tr|G1SQD6|G1SQD6_RABIT
OG0007615	sp|Q9Z2W9|GRIA3_MOUSE	tr|A0A5F9DBV5|A0A5F9DBV5_RABIT
OG0007616	tr|A0A0U1RNF2|A0A0U1RNF2_MOUSE	tr|A0A5F9DE15|A0A5F9DE15_RABIT
OG0007617	sp|A0A1B0GST9|CTXD1_MOUSE	tr|A0A5F9D752|A0A5F9D752_RABIT
OG0007618	sp|A2AHL1|ANO3_MOUSE	tr|G1TEN3|G1TEN3_RABIT
OG0007619	tr|E9PZM7|E9PZM7_MOUSE	tr|A0A5F9CMH3|A0A5F9CMH3_RABIT
OG0007620	tr|F6U238|F6U238_MOUSE	tr|G1T016|G1T016_RABIT
OG0007621	tr|G3X9X1|G3X9X1_MOUSE	tr|G1T3I2|G1T3I2_RABIT
OG0007622	tr|J3QK56|J3QK56_MOUSE	tr|G1U9E9|G1U9E9_RABIT
OG0007623	sp|O08750|NFIL3_MOUSE	tr|G1SCP4|G1SCP4_RABIT
OG0007624	sp|O70237|GFI1B_MOUSE	tr|G1SG51|G1SG51_RABIT
OG0007625	sp|P03893|NU2M_MOUSE	sp|O79428|NU2M_RABIT
OG0007626	sp|P11680|PROP_MOUSE	tr|G1U9S1|G1U9S1_RABIT
OG0007627	sp|P25962|ADRB3_MOUSE	tr|G1TYQ4|G1TYQ4_RABIT
OG0007628	sp|P43029|GDF7_MOUSE	tr|G1TN84|G1TN84_RABIT
OG0007629	sp|P45952|ACADM_MOUSE	tr|U3KM39|U3KM39_RABIT
OG0007630	sp|P51612|XPC_MOUSE	tr|G1T0K5|G1T0K5_RABIT
OG0007631	sp|P63054|PCP4_MOUSE	tr|A0A5F9C920|A0A5F9C920_RABIT
OG0007632	sp|P79621|C2TA_MOUSE	tr|A0A5F9C783|A0A5F9C783_RABIT
OG0007633	sp|P80314|TCPB_MOUSE	tr|A0A5F9DM38|A0A5F9DM38_RABIT
OG0007634	sp|Q03391|NMDE4_MOUSE	tr|G1TPJ8|G1TPJ8_RABIT
OG0007635	sp|Q14BI7|TDRD9_MOUSE	tr|G1TTX2|G1TTX2_RABIT
OG0007636	sp|Q2LA85|TRML2_MOUSE	tr|G1SSP7|G1SSP7_RABIT
OG0007637	sp|Q3V0C5|UBP48_MOUSE	tr|G1STU8|G1STU8_RABIT
OG0007638	sp|Q5DTJ9|MYPN_MOUSE	tr|G1SY79|G1SY79_RABIT
OG0007639	sp|Q64729|TGFR1_MOUSE	tr|G1TBB8|G1TBB8_RABIT
OG0007640	sp|Q8BGE6|ATG4B_MOUSE	tr|G1TYR8|G1TYR8_RABIT
OG0007641	sp|Q8BGX2|TIM29_MOUSE	tr|G1SJL0|G1SJL0_RABIT
OG0007642	sp|Q8BH10|ORAI2_MOUSE	tr|G1U3B1|G1U3B1_RABIT
OG0007643	sp|Q8BK58|HBAP1_MOUSE	tr|G1SJP5|G1SJP5_RABIT
OG0007644	sp|Q8BTG3|T11L1_MOUSE	tr|G1T9D1|G1T9D1_RABIT
OG0007645	sp|Q8CJ69|BMPER_MOUSE	tr|U3KLU7|U3KLU7_RABIT
OG0007646	sp|Q8K3K8|OPTN_MOUSE	tr|G1SRQ8|G1SRQ8_RABIT
OG0007647	sp|Q8VDS7|CE57L_MOUSE	tr|A0A5F9CHV0|A0A5F9CHV0_RABIT
OG0007648	sp|Q8VE88|F1142_MOUSE	tr|A0A5F9C8H7|A0A5F9C8H7_RABIT
OG0007649	tr|Q8VG26|Q8VG26_MOUSE	tr|G1T055|G1T055_RABIT
OG0007650	sp|Q922Q5|S35B3_MOUSE	tr|G1SJM7|G1SJM7_RABIT
OG0007651	sp|Q99NB8|UBQL4_MOUSE	tr|G1SSG9|G1SSG9_RABIT
OG0007652	tr|Q9CY99|Q9CY99_MOUSE	tr|G1TT57|G1TT57_RABIT
OG0007653	sp|Q9D4H4|AMOL1_MOUSE	tr|A0A5F9CHS1|A0A5F9CHS1_RABIT
OG0007654	tr|Q9D6D0|Q9D6D0_MOUSE	tr|G1SE02|G1SE02_RABIT
OG0007655	sp|Q9D8H7|OMA1_MOUSE	tr|G1T5F4|G1T5F4_RABIT
OG0007656	sp|Q9DA44|TSACC_MOUSE	tr|U3KME4|U3KME4_RABIT
OG0007657	sp|Q9DBS4|ACOXL_MOUSE	tr|U3KML7|U3KML7_RABIT
OG0007658	sp|Q9R1P3|PSB2_MOUSE	tr|G1T4X8|G1T4X8_RABIT
OG0007659	sp|O70624|MYOC_MOUSE	sp|Q866N2|MYOC_RABIT
OG0007660	sp|P17141|ZFP37_MOUSE	tr|U3KPL8|U3KPL8_RABIT
OG0007661	sp|P35412|GPR12_MOUSE	tr|G1TBA2|G1TBA2_RABIT
OG0007662	sp|P40694|SMBP2_MOUSE	tr|G1TSN3|G1TSN3_RABIT
OG0007663	sp|P42125|ECI1_MOUSE	tr|G1U0Y6|G1U0Y6_RABIT
OG0007664	sp|P49935|CATH_MOUSE	tr|A0A5F9CFT5|A0A5F9CFT5_RABIT
OG0007665	sp|P51658|DHB2_MOUSE	tr|G1TC34|G1TC34_RABIT
OG0007666	sp|P56931|E2F2_MOUSE	tr|A0A5F9CKS5|A0A5F9CKS5_RABIT
OG0007667	sp|P59158|S12A3_MOUSE	tr|A0A5F9CL75|A0A5F9CL75_RABIT
OG0007668	sp|P59384|ATS15_MOUSE	tr|G1SD59|G1SD59_RABIT
OG0007669	sp|P60041|SMS_MOUSE	tr|G1STB4|G1STB4_RABIT
OG0007670	sp|Q00993|UFO_MOUSE	tr|G1TC42|G1TC42_RABIT
OG0007671	sp|Q04692|SMRCD_MOUSE	tr|A0A5F9CYM8|A0A5F9CYM8_RABIT
OG0007672	sp|Q3T9M1|MFS2B_MOUSE	tr|A0A5F9C3N1|A0A5F9C3N1_RABIT
OG0007673	sp|Q3TDE8|ZN691_MOUSE	tr|G1TVJ9|G1TVJ9_RABIT
OG0007674	sp|Q3TS39|SIM33_MOUSE	tr|G1TMF9|G1TMF9_RABIT
OG0007675	sp|Q3TWN3|CNNM2_MOUSE	tr|A0A5F9CCU5|A0A5F9CCU5_RABIT
OG0007676	tr|Q3UYI1|Q3UYI1_MOUSE	tr|A0A5F9C6G0|A0A5F9C6G0_RABIT
OG0007677	sp|Q4FZF2|SPT46_MOUSE	tr|G1TJI0|G1TJI0_RABIT
OG0007678	sp|Q64702|PLK4_MOUSE	tr|G1SN07|G1SN07_RABIT
OG0007679	sp|Q66JW3|TOX_MOUSE	tr|A0A5F9DSX8|A0A5F9DSX8_RABIT
OG0007680	sp|Q6PAL1|DRAXI_MOUSE	tr|G1SP64|G1SP64_RABIT
OG0007681	sp|Q6PD21|SHB_MOUSE	tr|A0A5F9C5Z3|A0A5F9C5Z3_RABIT
OG0007682	sp|Q6VV64|KCNKI_MOUSE	tr|G1T8J8|G1T8J8_RABIT
OG0007683	sp|Q6ZQL4|WDR43_MOUSE	tr|G1SJ30|G1SJ30_RABIT
OG0007684	sp|Q80U44|ZFY16_MOUSE	tr|A0A5F9C6D6|A0A5F9C6D6_RABIT
OG0007685	sp|Q8BKI2|TNR6B_MOUSE	tr|A0A5F9D7S2|A0A5F9D7S2_RABIT
OG0007686	sp|Q8BKT8|HAUS7_MOUSE	tr|A0A5F9CJ68|A0A5F9CJ68_RABIT
OG0007687	sp|Q8BLH7|HIRP3_MOUSE	tr|G1TL56|G1TL56_RABIT
OG0007688	sp|Q8BM86|LHPL6_MOUSE	tr|G1SET9|G1SET9_RABIT
OG0007689	sp|Q8BQZ8|KCNS3_MOUSE	sp|Q9TT17|KCNS3_RABIT
OG0007690	sp|Q8C341|SUCO_MOUSE	tr|G1STD5|G1STD5_RABIT
OG0007691	sp|Q8C3X2|CC90B_MOUSE	tr|A0A5F9D0Z2|A0A5F9D0Z2_RABIT
OG0007692	sp|Q8C4S8|DEN2A_MOUSE	tr|G1T8I5|G1T8I5_RABIT
OG0007693	sp|Q8CFE3|RCOR1_MOUSE	tr|A0A5F9DBF9|A0A5F9DBF9_RABIT
OG0007694	sp|Q8K1N4|SPAS2_MOUSE	tr|G1TCE8|G1TCE8_RABIT
OG0007695	sp|Q8R123|FAD1_MOUSE	tr|G1TWC9|G1TWC9_RABIT
OG0007696	sp|Q8VBT9|ASPC1_MOUSE	tr|A0A5F9CL60|A0A5F9CL60_RABIT
OG0007697	sp|Q8WUR0|CS012_MOUSE	tr|G1SIH6|G1SIH6_RABIT
OG0007698	sp|Q99JG7|TNIP2_MOUSE	tr|G1SYF0|G1SYF0_RABIT
OG0007699	sp|Q99K01|PDXD1_MOUSE	tr|A0A5F9DKU8|A0A5F9DKU8_RABIT
OG0007700	sp|Q99KC7|SMAGP_MOUSE	tr|G1U2N4|G1U2N4_RABIT
OG0007701	sp|Q99PT3|IN80B_MOUSE	tr|A0A5F9C602|A0A5F9C602_RABIT
OG0007702	sp|Q9CQA9|NTPCR_MOUSE	tr|A0A5F9CD60|A0A5F9CD60_RABIT
OG0007703	sp|Q9CQP3|CHCH5_MOUSE	tr|A0A5F9CZB3|A0A5F9CZB3_RABIT
OG0007704	sp|Q9D0M0|EXOS7_MOUSE	tr|A0A5F9DTE0|A0A5F9DTE0_RABIT
OG0007705	sp|Q9D5E4|DRC3_MOUSE	tr|A0A5F9DHC1|A0A5F9DHC1_RABIT
OG0007706	sp|Q9D925|LYZL4_MOUSE	tr|G1T4Q1|G1T4Q1_RABIT
OG0007707	sp|Q9DBM2|ECHP_MOUSE	tr|A0A5F9DHM7|A0A5F9DHM7_RABIT
OG0007708	sp|Q9JK53|PRELP_MOUSE	tr|G1SXR1|G1SXR1_RABIT
OG0007709	sp|Q9JMG3|TMUB1_MOUSE	tr|G1U2H5|G1U2H5_RABIT
OG0007710	sp|Q9QZ26|KCNE5_MOUSE	tr|G1TSW5|G1TSW5_RABIT
OG0007711	sp|Q9WTN0|GGPPS_MOUSE	tr|A0A5F9DRL8|A0A5F9DRL8_RABIT
OG0007712	sp|Q9Z261|CLD7_MOUSE	tr|G1SS67|G1SS67_RABIT
OG0007713	sp|B1AS42|NB5R5_MOUSE	tr|G1U5Z8|G1U5Z8_RABIT
OG0007714	tr|B2RUQ2|B2RUQ2_MOUSE	tr|A0A5F9DN71|A0A5F9DN71_RABIT
OG0007715	sp|B2RXC1|TPC11_MOUSE	tr|G1SYS3|G1SYS3_RABIT
OG0007716	sp|B5X0E4|ABCB5_MOUSE	tr|G1T050|G1T050_RABIT
OG0007717	tr|E9PW10|E9PW10_MOUSE	tr|G1T764|G1T764_RABIT
OG0007718	sp|O35738|KLF12_MOUSE	tr|A0A5F9CIQ8|A0A5F9CIQ8_RABIT
OG0007719	sp|O54956|DPOE2_MOUSE	tr|G1T9J2|G1T9J2_RABIT
OG0007720	sp|O70146|TESK1_MOUSE	tr|G1SYQ3|G1SYQ3_RABIT
OG0007721	sp|O88329|MYO1A_MOUSE	tr|G1SF80|G1SF80_RABIT
OG0007722	sp|O88554|PARP2_MOUSE	tr|G1U392|G1U392_RABIT
OG0007723	sp|P08414|KCC4_MOUSE	tr|G1TPQ0|G1TPQ0_RABIT
OG0007724	sp|P18165|LORI_MOUSE	tr|A0A5F9D847|A0A5F9D847_RABIT
OG0007725	sp|P21855|CD72_MOUSE	tr|A0A5F9C457|A0A5F9C457_RABIT
OG0007726	sp|P29758|OAT_MOUSE	tr|A0A5F9CII4|A0A5F9CII4_RABIT
OG0007727	sp|P40935|PNMT_MOUSE	tr|G1TT82|G1TT82_RABIT
