Orthogroup	Homo_sapiens	Eschrichtius_robustus
OG0003424	sp|Q96QK1|VPS35_HUMAN	tr|A0A2F0B5A4|A0A2F0B5A4_ESCRO
OG0003425	sp|Q5TGL8|PXDC1_HUMAN	tr|A0A2F0B5F7|A0A2F0B5F7_ESCRO
OG0003426	sp|Q86VW0|SESD1_HUMAN	tr|A0A2F0B5S9|A0A2F0B5S9_ESCRO
OG0003427	sp|Q9HBU1|BARX1_HUMAN	tr|A0A2F0B636|A0A2F0B636_ESCRO
OG0003428	sp|Q8N8Q1|C56D1_HUMAN	tr|A0A2F0B6F5|A0A2F0B6F5_ESCRO
OG0003429	sp|Q9UHB6|LIMA1_HUMAN	tr|A0A2F0B703|A0A2F0B703_ESCRO
OG0003430	sp|O60671|RAD1_HUMAN	tr|A0A2F0B740|A0A2F0B740_ESCRO
OG0003431	sp|Q9GZV7|HPLN2_HUMAN	tr|A0A2F0B7D2|A0A2F0B7D2_ESCRO
OG0003432	sp|P0CG21|NHLC4_HUMAN	tr|A0A2F0B7L1|A0A2F0B7L1_ESCRO
OG0003433	sp|Q5EB52|MEST_HUMAN	tr|A0A2F0B7U9|A0A2F0B7U9_ESCRO
OG0003434	sp|Q6ZRV2|FA83H_HUMAN	tr|A0A2F0B914|A0A2F0B914_ESCRO
OG0003435	sp|Q99467|CD180_HUMAN	tr|A0A2F0B942|A0A2F0B942_ESCRO
OG0003436	sp|P52824|DGKQ_HUMAN	tr|A0A2F0B9U3|A0A2F0B9U3_ESCRO
OG0003437	sp|P00751|CFAB_HUMAN	tr|A0A2F0BAH8|A0A2F0BAH8_ESCRO
OG0003438	sp|Q9Y576|ASB1_HUMAN	tr|A0A2F0BBM9|A0A2F0BBM9_ESCRO
OG0003439	sp|O00754|MA2B1_HUMAN	tr|A0A2F0BC74|A0A2F0BC74_ESCRO
OG0003440	sp|Q8N8W4|PLPL1_HUMAN	tr|A0A2F0BCC1|A0A2F0BCC1_ESCRO
OG0003441	sp|P85299|PRR5_HUMAN	tr|A0A2F0BCG6|A0A2F0BCG6_ESCRO
OG0003442	sp|Q8TDG4|HELQ_HUMAN	tr|A0A2F0BCL5|A0A2F0BCL5_ESCRO
OG0003443	sp|Q96DV4|RM38_HUMAN	tr|A0A2F0BCN5|A0A2F0BCN5_ESCRO
OG0003444	sp|Q9UNN8|EPCR_HUMAN	tr|A0A2F0BD08|A0A2F0BD08_ESCRO
OG0003445	sp|Q3SY56|SP6_HUMAN	tr|A0A2F0BDW8|A0A2F0BDW8_ESCRO
OG0003446	sp|Q8N0Z8|PUSL1_HUMAN	tr|A0A2F0BE56|A0A2F0BE56_ESCRO
OG0003447	sp|Q6RFH5|WDR74_HUMAN	tr|A0A2F0BEE3|A0A2F0BEE3_ESCRO
OG0003448	sp|Q9UQ10|DHDH_HUMAN	tr|A0A2F0BEQ7|A0A2F0BEQ7_ESCRO
OG0003449	sp|O43301|HS12A_HUMAN	tr|A0A2F0BFJ0|A0A2F0BFJ0_ESCRO
OG0003450	sp|Q8N143|BCL6B_HUMAN	tr|A0A2F0BFN8|A0A2F0BFN8_ESCRO
OG0003451	sp|Q9NZJ0|DTL_HUMAN	tr|A0A2F0BFX4|A0A2F0BFX4_ESCRO
OG0003452	sp|Q7RTX1|TS1R1_HUMAN	tr|A0A2F0BFY2|A0A2F0BFY2_ESCRO
OG0003453	sp|P19387|RPB3_HUMAN	tr|A0A2F0BGQ8|A0A2F0BGQ8_ESCRO
OG0003454	sp|Q96SD1|DCR1C_HUMAN	tr|A0A2F0BHH9|A0A2F0BHH9_ESCRO
OG0003455	sp|O14513|NCKP5_HUMAN	tr|A0A2F0BHX2|A0A2F0BHX2_ESCRO
OG0003456	sp|O43759|SNG1_HUMAN	tr|A0A2F0BIW1|A0A2F0BIW1_ESCRO
OG0003457	sp|Q86UC2|RSPH3_HUMAN	tr|A0A2F0BJ09|A0A2F0BJ09_ESCRO
OG0003458	sp|Q9P2Z0|THA10_HUMAN	tr|A0A2F0BJE0|A0A2F0BJE0_ESCRO
OG0003459	sp|O94888|UBXN7_HUMAN	tr|A0A2F0BJK1|A0A2F0BJK1_ESCRO
OG0003460	sp|Q9HC36|MRM3_HUMAN	tr|A0A2F0BJR7|A0A2F0BJR7_ESCRO
OG0003461	sp|Q9H221|ABCG8_HUMAN	tr|A0A2F0BKM0|A0A2F0BKM0_ESCRO
OG0003462	sp|P48728|GCST_HUMAN	tr|A0A2F0BLC0|A0A2F0BLC0_ESCRO
OG0003463	sp|O14948|TFEC_HUMAN	tr|A0A2F0BLR5|A0A2F0BLR5_ESCRO
OG0003464	sp|Q9H207|O10A5_HUMAN	tr|A0A2F0BLY0|A0A2F0BLY0_ESCRO
OG0003465	sp|Q9H7H0|MET17_HUMAN	tr|A0A2F0BM22|A0A2F0BM22_ESCRO
OG0003466	sp|Q9UQF2|JIP1_HUMAN	tr|A0A2F0BN85|A0A2F0BN85_ESCRO
OG0003467	sp|P57768|SNX16_HUMAN	tr|A0A2F0BNG1|A0A2F0BNG1_ESCRO
OG0003469	sp|Q9NP64|ZCC17_HUMAN	tr|A0A2F0BNT0|A0A2F0BNT0_ESCRO
OG0003470	sp|Q8NG27|PJA1_HUMAN	tr|A0A2F0BPZ2|A0A2F0BPZ2_ESCRO
OG0003471	sp|O60519|CRBL2_HUMAN	tr|A0A2F0AUT7|A0A2F0AUT7_ESCRO
OG0003472	sp|Q8NBI5|S43A3_HUMAN	tr|A0A2F0AUZ5|A0A2F0AUZ5_ESCRO
OG0003473	sp|Q9P1W3|CSC1_HUMAN	tr|A0A2F0AV14|A0A2F0AV14_ESCRO
OG0003474	sp|Q96AH0|SOSB2_HUMAN	tr|A0A2F0AVS2|A0A2F0AVS2_ESCRO
OG0003475	sp|Q9H892|TTC12_HUMAN	tr|A0A2F0AVY8|A0A2F0AVY8_ESCRO
OG0003476	sp|Q96N77|ZN641_HUMAN	tr|A0A2F0AWP2|A0A2F0AWP2_ESCRO
OG0003477	sp|O43427|FIBP_HUMAN	tr|A0A2F0AXG4|A0A2F0AXG4_ESCRO
OG0003478	sp|Q6UWT2|ENHO_HUMAN	tr|A0A2F0AXM4|A0A2F0AXM4_ESCRO
OG0003479	sp|O15511|ARPC5_HUMAN	tr|A0A2F0AXU1|A0A2F0AXU1_ESCRO
OG0003480	sp|O96018|APBA3_HUMAN	tr|A0A2F0AYD6|A0A2F0AYD6_ESCRO
OG0003481	sp|Q9BSG0|PADC1_HUMAN	tr|A0A2F0AZ30|A0A2F0AZ30_ESCRO
OG0003482	sp|P18074|ERCC2_HUMAN	tr|A0A2F0AZ54|A0A2F0AZ54_ESCRO
OG0003483	sp|P57735|RAB25_HUMAN	tr|A0A2F0AZL4|A0A2F0AZL4_ESCRO
OG0003484	sp|Q9P2N6|KANL3_HUMAN	tr|A0A2F0AZN1|A0A2F0AZN1_ESCRO
OG0003485	sp|O15033|AREL1_HUMAN	tr|A0A2F0AZV7|A0A2F0AZV7_ESCRO
OG0003486	sp|Q3YEC7|RABL6_HUMAN	tr|A0A2F0B010|A0A2F0B010_ESCRO
OG0003487	sp|P52429|DGKE_HUMAN	tr|A0A2F0B026|A0A2F0B026_ESCRO
OG0003488	sp|Q96KX1|CD036_HUMAN	tr|A0A2F0B071|A0A2F0B071_ESCRO
OG0003489	sp|P30086|PEBP1_HUMAN	tr|A0A2F0B079|A0A2F0B079_ESCRO
OG0003490	sp|Q8WVF2|UCMA_HUMAN	tr|A0A2F0B0G3|A0A2F0B0G3_ESCRO
OG0003491	sp|Q9BSJ8|ESYT1_HUMAN	tr|A0A2F0B1F1|A0A2F0B1F1_ESCRO
OG0003492	sp|P14784|IL2RB_HUMAN	tr|A0A2F0B2Y8|A0A2F0B2Y8_ESCRO
OG0003493	sp|O43567|RNF13_HUMAN	tr|A0A2F0B5L7|A0A2F0B5L7_ESCRO
OG0003494	sp|Q8WYQ3|CHC10_HUMAN	tr|A0A2F0B5Y1|A0A2F0B5Y1_ESCRO
OG0003495	sp|O43615|TIM44_HUMAN	tr|A0A2F0B669|A0A2F0B669_ESCRO
OG0003496	sp|B2RXF5|ZBT42_HUMAN	tr|A0A2F0B6E6|A0A2F0B6E6_ESCRO
OG0003497	sp|Q8IXY8|PPIL6_HUMAN	tr|A0A2F0B865|A0A2F0B865_ESCRO
OG0003498	sp|Q9BTK6|PAGR1_HUMAN	tr|A0A2F0B896|A0A2F0B896_ESCRO
OG0003499	sp|O95452|CXB6_HUMAN	tr|A0A2F0B944|A0A2F0B944_ESCRO
OG0003500	sp|A5PLL1|AN34B_HUMAN	tr|A0A2F0BA28|A0A2F0BA28_ESCRO
OG0003501	sp|Q969F2|NKD2_HUMAN	tr|A0A2F0BAQ8|A0A2F0BAQ8_ESCRO
OG0003502	sp|O75521|ECI2_HUMAN	tr|A0A2F0BB89|A0A2F0BB89_ESCRO
OG0003503	sp|Q8WUW1|BRK1_HUMAN	tr|A0A2F0BBJ2|A0A2F0BBJ2_ESCRO
OG0003504	sp|O96011|PX11B_HUMAN	tr|A0A2F0BBV2|A0A2F0BBV2_ESCRO
OG0003505	sp|Q5T700|LRAD1_HUMAN	tr|A0A2F0BD51|A0A2F0BD51_ESCRO
OG0003506	sp|Q53T94|TAF1B_HUMAN	tr|A0A2F0BEB6|A0A2F0BEB6_ESCRO
OG0003507	sp|Q9UDY6|TRI10_HUMAN	tr|A0A2F0BED8|A0A2F0BED8_ESCRO
OG0003508	sp|Q9BVS4|RIOK2_HUMAN	tr|A0A2F0BF93|A0A2F0BF93_ESCRO
OG0003509	sp|P61221|ABCE1_HUMAN	tr|A0A2F0BFR4|A0A2F0BFR4_ESCRO
OG0003510	sp|Q99828|CIB1_HUMAN	tr|A0A2F0BG82|A0A2F0BG82_ESCRO
OG0003511	sp|A6NEH6|TM247_HUMAN	tr|A0A2F0BH82|A0A2F0BH82_ESCRO
OG0003512	sp|Q8TAC2|JOS2_HUMAN	tr|A0A2F0BHQ6|A0A2F0BHQ6_ESCRO
OG0003513	sp|Q8TF74|WIPF2_HUMAN	tr|A0A2F0BIS9|A0A2F0BIS9_ESCRO
OG0003514	sp|O14495|PLPP3_HUMAN	tr|A0A2F0BJ12|A0A2F0BJ12_ESCRO
OG0003515	sp|Q96PM5|ZN363_HUMAN	tr|A0A2F0BJ46|A0A2F0BJ46_ESCRO
OG0003516	sp|Q9HA77|SYCM_HUMAN	tr|A0A2F0BJA0|A0A2F0BJA0_ESCRO
OG0003517	sp|Q14088|RB33A_HUMAN	tr|A0A2F0BJR4|A0A2F0BJR4_ESCRO
OG0003518	sp|O95972|BMP15_HUMAN	tr|A0A2F0BKE2|A0A2F0BKE2_ESCRO
OG0003519	sp|Q8NDY3|ARHL1_HUMAN	tr|A0A2F0BKW0|A0A2F0BKW0_ESCRO
OG0003520	sp|Q9H5Q4|TFB2M_HUMAN	tr|A0A2F0BL45|A0A2F0BL45_ESCRO
OG0003521	sp|O15067|PUR4_HUMAN	tr|A0A2F0BLE2|A0A2F0BLE2_ESCRO
OG0003522	sp|Q8N1W2|ZN710_HUMAN	tr|A0A2F0BLW4|A0A2F0BLW4_ESCRO
OG0003523	sp|P22234|PUR6_HUMAN	tr|A0A2F0BMJ6|A0A2F0BMJ6_ESCRO
OG0003524	sp|Q9Y6A5|TACC3_HUMAN	tr|A0A2F0BMV8|A0A2F0BMV8_ESCRO
OG0003525	sp|Q9BQ61|TRIR_HUMAN	tr|A0A2F0BN79|A0A2F0BN79_ESCRO
OG0003526	sp|Q9HBG7|LY9_HUMAN	tr|A0A2F0BPL9|A0A2F0BPL9_ESCRO
OG0003527	sp|Q96S38|KS6C1_HUMAN	tr|A0A2F0BPM5|A0A2F0BPM5_ESCRO
OG0003529	sp|P47804|RGR_HUMAN	tr|A0A2F0AUP6|A0A2F0AUP6_ESCRO
OG0003530	sp|Q8WUJ3|CEMIP_HUMAN	tr|A0A2F0AV89|A0A2F0AV89_ESCRO
OG0003531	sp|O95858|TSN15_HUMAN	tr|A0A2F0AVL7|A0A2F0AVL7_ESCRO
OG0003532	sp|Q8TF61|FBX41_HUMAN	tr|A0A2F0AVQ2|A0A2F0AVQ2_ESCRO
OG0003533	sp|Q96JE7|SC16B_HUMAN	tr|A0A2F0AWD9|A0A2F0AWD9_ESCRO
OG0003534	sp|P23511|NFYA_HUMAN	tr|A0A2F0AX79|A0A2F0AX79_ESCRO
OG0003535	sp|Q8N264|RHG24_HUMAN	tr|A0A2F0AXK5|A0A2F0AXK5_ESCRO
OG0003536	sp|Q15726|KISS1_HUMAN	tr|A0A2F0AYQ1|A0A2F0AYQ1_ESCRO
OG0003537	sp|Q6ZN32|ETV3L_HUMAN	tr|A0A2F0AZ06|A0A2F0AZ06_ESCRO
OG0003538	sp|Q6NSJ0|MYORG_HUMAN	tr|A0A2F0AZV0|A0A2F0AZV0_ESCRO
OG0003539	sp|P21128|ENDOU_HUMAN	tr|A0A2F0B0Q1|A0A2F0B0Q1_ESCRO
OG0003540	sp|Q8TAL6|FIBIN_HUMAN	tr|A0A2F0B0R3|A0A2F0B0R3_ESCRO
OG0003541	sp|Q7Z3G6|PRIC2_HUMAN	tr|A0A2F0B0R8|A0A2F0B0R8_ESCRO
OG0003542	sp|Q9UBP6|TRMB_HUMAN	tr|A0A2F0B0V9|A0A2F0B0V9_ESCRO
OG0003543	sp|Q9H082|RB33B_HUMAN	tr|A0A2F0B256|A0A2F0B256_ESCRO
OG0003544	sp|Q14197|ICT1_HUMAN	tr|A0A2F0B2V6|A0A2F0B2V6_ESCRO
OG0003545	sp|Q9UHH9|IP6K2_HUMAN	tr|A0A2F0B2X4|A0A2F0B2X4_ESCRO
OG0003546	sp|Q9NWX6|THG1_HUMAN	tr|A0A2F0B335|A0A2F0B335_ESCRO
OG0003547	sp|Q15468|STIL_HUMAN	tr|A0A2F0B348|A0A2F0B348_ESCRO
OG0003548	sp|P30049|ATPD_HUMAN	tr|A0A2F0B490|A0A2F0B490_ESCRO
OG0003549	sp|P28845|DHI1_HUMAN	tr|A0A2F0B4T5|A0A2F0B4T5_ESCRO
OG0003550	sp|Q96MA6|KAD8_HUMAN	tr|A0A2F0B4Y8|A0A2F0B4Y8_ESCRO
OG0003551	sp|Q6UXF1|TM108_HUMAN	tr|A0A2F0B5G7|A0A2F0B5G7_ESCRO
OG0003552	sp|P50406|5HT6R_HUMAN	tr|A0A2F0B5J6|A0A2F0B5J6_ESCRO
OG0003553	sp|Q8N806|UBR7_HUMAN	tr|A0A2F0B7A3|A0A2F0B7A3_ESCRO
OG0003554	sp|Q8TAP9|MPLKI_HUMAN	tr|A0A2F0B7L9|A0A2F0B7L9_ESCRO
OG0003555	sp|Q8N6Y0|USBP1_HUMAN	tr|A0A2F0B8A0|A0A2F0B8A0_ESCRO
OG0003556	sp|Q6NTE8|MRNIP_HUMAN	tr|A0A2F0B8F2|A0A2F0B8F2_ESCRO
OG0003557	sp|P58549|FXYD7_HUMAN	tr|A0A2F0BAZ5|A0A2F0BAZ5_ESCRO
OG0003558	sp|O00322|UPK1A_HUMAN	tr|A0A2F0BB17|A0A2F0BB17_ESCRO
OG0003559	sp|Q99871|HAUS7_HUMAN	tr|A0A2F0BBY4|A0A2F0BBY4_ESCRO
OG0003560	sp|Q15040|JOS1_HUMAN	tr|A0A2F0BC39|A0A2F0BC39_ESCRO
OG0003561	sp|Q9BYV9|BACH2_HUMAN	tr|A0A2F0BC71|A0A2F0BC71_ESCRO
OG0003562	sp|P25786|PSA1_HUMAN	tr|A0A2F0BCX6|A0A2F0BCX6_ESCRO
OG0003563	sp|Q9H2Y7|ZN106_HUMAN	tr|A0A2F0BDX8|A0A2F0BDX8_ESCRO
OG0003564	sp|Q6ZT21|TMPPE_HUMAN	tr|A0A2F0BEK7|A0A2F0BEK7_ESCRO
OG0003565	sp|Q86WA9|S2611_HUMAN	tr|A0A2F0BF03|A0A2F0BF03_ESCRO
OG0003566	sp|Q8NBT2|SPC24_HUMAN	tr|A0A2F0BF78|A0A2F0BF78_ESCRO
OG0003567	sp|O60870|KIN17_HUMAN	tr|A0A2F0BFK1|A0A2F0BFK1_ESCRO
OG0003568	sp|Q8NCC3|PAG15_HUMAN	tr|A0A2F0BGC2|A0A2F0BGC2_ESCRO
OG0003569	sp|Q8WUH1|CHUR_HUMAN	tr|A0A2F0BGG6|A0A2F0BGG6_ESCRO
OG0003570	sp|Q9BZQ4|NMNA2_HUMAN	tr|A0A2F0BGK3|A0A2F0BGK3_ESCRO
OG0003571	sp|Q8NC42|RN149_HUMAN	tr|A0A2F0BIN0|A0A2F0BIN0_ESCRO
OG0003572	sp|Q9H0F6|SHRPN_HUMAN	tr|A0A2F0BIT2|A0A2F0BIT2_ESCRO
OG0003573	sp|A0AVK6|E2F8_HUMAN	tr|A0A2F0BJ72|A0A2F0BJ72_ESCRO
OG0003574	sp|Q8WW27|ABEC4_HUMAN	tr|A0A2F0BJ74|A0A2F0BJ74_ESCRO
OG0003575	sp|P24387|CRHBP_HUMAN	tr|A0A2F0BKZ3|A0A2F0BKZ3_ESCRO
OG0003576	sp|Q14494|NF2L1_HUMAN	tr|A0A2F0BL31|A0A2F0BL31_ESCRO
OG0003577	sp|Q07108|CD69_HUMAN	tr|A0A2F0BL55|A0A2F0BL55_ESCRO
OG0003578	sp|P0DP58|LYNX1_HUMAN	tr|A0A2F0BLK3|A0A2F0BLK3_ESCRO
OG0003579	sp|Q8N8Q8|COX18_HUMAN	tr|A0A2F0BLP1|A0A2F0BLP1_ESCRO
OG0003580	sp|O75508|CLD11_HUMAN	tr|A0A2F0BLS2|A0A2F0BLS2_ESCRO
OG0003581	sp|P48023|TNFL6_HUMAN	tr|A0A2F0BMY1|A0A2F0BMY1_ESCRO
OG0003582	sp|O15304|SIVA_HUMAN	tr|A0A2F0BNB4|A0A2F0BNB4_ESCRO
OG0003583	sp|P52943|CRIP2_HUMAN	tr|A0A2F0BNI4|A0A2F0BNI4_ESCRO
OG0003584	sp|Q9H1Z4|WDR13_HUMAN	tr|A0A2F0BNQ6|A0A2F0BNQ6_ESCRO
OG0003585	sp|Q15773|MLF2_HUMAN	tr|A0A2F0BPP2|A0A2F0BPP2_ESCRO
OG0003586	sp|D6RGH6|MCIN_HUMAN	tr|A0A2F0BQ60|A0A2F0BQ60_ESCRO
OG0003587	sp|Q8NFW5|DMBX1_HUMAN	tr|A0A2F0AVT2|A0A2F0AVT2_ESCRO
OG0003588	sp|Q9BXJ3|C1QT4_HUMAN	tr|A0A2F0AWQ9|A0A2F0AWQ9_ESCRO
OG0003589	sp|Q96BA8|CR3L1_HUMAN	tr|A0A2F0AWT3|A0A2F0AWT3_ESCRO
OG0003590	sp|Q5XUX0|FBX31_HUMAN	tr|A0A2F0AXT5|A0A2F0AXT5_ESCRO
OG0003591	sp|Q7L590|MCM10_HUMAN	tr|A0A2F0AXU9|A0A2F0AXU9_ESCRO
OG0003592	sp|Q9NZU5|LMCD1_HUMAN	tr|A0A2F0AZ69|A0A2F0AZ69_ESCRO
OG0003593	sp|Q86Y82|STX12_HUMAN	tr|A0A2F0AZH7|A0A2F0AZH7_ESCRO
OG0003594	sp|Q9Y6B7|AP4B1_HUMAN	tr|A0A2F0B0G8|A0A2F0B0G8_ESCRO
OG0003595	sp|P57054|PIGP_HUMAN	tr|A0A2F0B0L1|A0A2F0B0L1_ESCRO
OG0003596	sp|Q9BVC4|LST8_HUMAN	tr|A0A2F0B0Q2|A0A2F0B0Q2_ESCRO
OG0003597	sp|Q9Y5J6|T10B_HUMAN	tr|A0A2F0B0V4|A0A2F0B0V4_ESCRO
OG0003598	sp|Q16518|RPE65_HUMAN	tr|A0A2F0B171|A0A2F0B171_ESCRO
OG0003599	sp|Q9UL46|PSME2_HUMAN	tr|A0A2F0B1N0|A0A2F0B1N0_ESCRO
OG0003600	sp|P06746|DPOLB_HUMAN	tr|A0A2F0B1Q2|A0A2F0B1Q2_ESCRO
OG0003601	sp|Q5TEC3|ZN697_HUMAN	tr|A0A2F0B1W4|A0A2F0B1W4_ESCRO
OG0003602	sp|Q14894|CRYM_HUMAN	tr|A0A2F0B3M1|A0A2F0B3M1_ESCRO
OG0003603	sp|Q19AV6|ZSWM7_HUMAN	tr|A0A2F0B3U9|A0A2F0B3U9_ESCRO
OG0003604	sp|Q9UKR0|KLK12_HUMAN	tr|A0A2F0B590|A0A2F0B590_ESCRO
OG0003605	sp|P21741|MK_HUMAN	tr|A0A2F0B789|A0A2F0B789_ESCRO
OG0003606	sp|Q9BQ51|PD1L2_HUMAN	tr|A0A2F0B9E1|A0A2F0B9E1_ESCRO
OG0003607	sp|Q14204|DYHC1_HUMAN	tr|A0A2F0BAD2|A0A2F0BAD2_ESCRO
OG0003608	sp|Q86SX6|GLRX5_HUMAN	tr|A0A2F0BAI5|A0A2F0BAI5_ESCRO
OG0003609	sp|Q8N2K1|UB2J2_HUMAN	tr|A0A2F0BAN9|A0A2F0BAN9_ESCRO
OG0003610	sp|Q96T54|KCNKH_HUMAN	tr|A0A2F0BAW7|A0A2F0BAW7_ESCRO
OG0003611	sp|P40926|MDHM_HUMAN	tr|A0A2F0BAZ6|A0A2F0BAZ6_ESCRO
OG0003612	sp|Q9BTE1|DCTN5_HUMAN	tr|A0A2F0BBB1|A0A2F0BBB1_ESCRO
OG0003613	sp|Q86U38|NOP9_HUMAN	tr|A0A2F0BBJ3|A0A2F0BBJ3_ESCRO
OG0003614	sp|Q8NG06|TRI58_HUMAN	tr|A0A2F0BCX5|A0A2F0BCX5_ESCRO
OG0003615	sp|P49756|RBM25_HUMAN	tr|A0A2F0BD92|A0A2F0BD92_ESCRO
OG0003616	sp|Q9NVM6|DJC17_HUMAN	tr|A0A2F0BDD6|A0A2F0BDD6_ESCRO
OG0003617	sp|P83881|RL36A_HUMAN	tr|A0A2F0BFP6|A0A2F0BFP6_ESCRO
OG0003618	sp|Q9UJU6|DBNL_HUMAN	tr|A0A2F0BFU8|A0A2F0BFU8_ESCRO
OG0003619	sp|Q8TDB6|DTX3L_HUMAN	tr|A0A2F0BG26|A0A2F0BG26_ESCRO
OG0003620	sp|P57775|FBXW4_HUMAN	tr|A0A2F0BGA2|A0A2F0BGA2_ESCRO
OG0003621	sp|P24863|CCNC_HUMAN	tr|A0A2F0BGM9|A0A2F0BGM9_ESCRO
OG0003622	sp|Q9Y230|RUVB2_HUMAN	tr|A0A2F0BH29|A0A2F0BH29_ESCRO
OG0003623	sp|Q8IUW3|SPA2L_HUMAN	tr|A0A2F0BHA6|A0A2F0BHA6_ESCRO
OG0003624	sp|Q9UNW8|GP132_HUMAN	tr|A0A2F0BHV0|A0A2F0BHV0_ESCRO
OG0003625	sp|P13611|CSPG2_HUMAN	tr|A0A2F0BIS0|A0A2F0BIS0_ESCRO
OG0003626	sp|Q9GZT4|SRR_HUMAN	tr|A0A2F0BJ20|A0A2F0BJ20_ESCRO
OG0003627	sp|Q9GZN8|CT027_HUMAN	tr|A0A2F0BJ36|A0A2F0BJ36_ESCRO
OG0003628	sp|Q15435|PP1R7_HUMAN	tr|A0A2F0BJW8|A0A2F0BJW8_ESCRO
OG0003629	sp|P55198|AF17_HUMAN	tr|A0A2F0BJX7|A0A2F0BJX7_ESCRO
OG0003630	sp|P51946|CCNH_HUMAN	tr|A0A2F0BK07|A0A2F0BK07_ESCRO
OG0003631	sp|P78380|OLR1_HUMAN	tr|A0A2F0BK69|A0A2F0BK69_ESCRO
OG0003632	sp|O15354|GPR37_HUMAN	tr|A0A2F0BLI1|A0A2F0BLI1_ESCRO
OG0003633	sp|Q16851|UGPA_HUMAN	tr|A0A2F0BM03|A0A2F0BM03_ESCRO
OG0003634	sp|P04155|TFF1_HUMAN	tr|A0A2F0BMK0|A0A2F0BMK0_ESCRO
OG0003635	sp|P02671|FIBA_HUMAN	tr|A0A2F0BMU1|A0A2F0BMU1_ESCRO
OG0003636	sp|Q8N9V2|TRIML_HUMAN	tr|A0A2F0BMX3|A0A2F0BMX3_ESCRO
OG0003637	sp|Q96N76|HUTU_HUMAN	tr|A0A2F0BMX7|A0A2F0BMX7_ESCRO
OG0003638	sp|P47211|GALR1_HUMAN	tr|A0A2F0BN69|A0A2F0BN69_ESCRO
OG0003639	sp|Q9BYG7|MSTRO_HUMAN	tr|A0A2F0BNL1|A0A2F0BNL1_ESCRO
OG0003640	sp|Q14872|MTF1_HUMAN	tr|A0A2F0BNR5|A0A2F0BNR5_ESCRO
OG0003641	sp|Q86XI2|CNDG2_HUMAN	tr|A0A2F0BNX6|A0A2F0BNX6_ESCRO
OG0003642	sp|O43583|DENR_HUMAN	tr|A0A2F0BPJ6|A0A2F0BPJ6_ESCRO
OG0003643	sp|Q9H6Y2|WDR55_HUMAN	tr|A0A2F0BPV6|A0A2F0BPV6_ESCRO
OG0003644	sp|Q99677|LPAR4_HUMAN	tr|A0A2F0BQ64|A0A2F0BQ64_ESCRO
OG0003645	sp|Q9BVL4|SELO_HUMAN	tr|A0A2F0AVA5|A0A2F0AVA5_ESCRO
OG0003646	sp|P35680|HNF1B_HUMAN	tr|A0A2F0AVU7|A0A2F0AVU7_ESCRO
OG0003647	sp|Q5W5W9|RES18_HUMAN	tr|A0A2F0AW46|A0A2F0AW46_ESCRO
OG0003648	sp|O00299|CLIC1_HUMAN	tr|A0A2F0AW66|A0A2F0AW66_ESCRO
OG0003649	sp|P26373|RL13_HUMAN	tr|A0A2F0AX77|A0A2F0AX77_ESCRO
OG0003650	sp|A8MPS7|YDJC_HUMAN	tr|A0A2F0AXF3|A0A2F0AXF3_ESCRO
OG0003651	sp|Q15813|TBCE_HUMAN	tr|A0A2F0AXH3|A0A2F0AXH3_ESCRO
OG0003652	sp|Q9Y694|S22A7_HUMAN	tr|A0A2F0AXJ2|A0A2F0AXJ2_ESCRO
OG0003653	sp|Q96I51|RCC1L_HUMAN	tr|A0A2F0AXR3|A0A2F0AXR3_ESCRO
OG0003654	sp|Q02086|SP2_HUMAN	tr|A0A2F0AXV2|A0A2F0AXV2_ESCRO
OG0003655	sp|Q7Z6I6|RHG30_HUMAN	tr|A0A2F0AXY3|A0A2F0AXY3_ESCRO
OG0003656	sp|O95049|ZO3_HUMAN	tr|A0A2F0AY49|A0A2F0AY49_ESCRO
OG0003657	sp|Q9UK80|UBP21_HUMAN	tr|A0A2F0AZ21|A0A2F0AZ21_ESCRO
OG0003658	sp|Q92563|TICN2_HUMAN	tr|A0A2F0AZ72|A0A2F0AZ72_ESCRO
OG0003659	sp|P17050|NAGAB_HUMAN	tr|A0A2F0B044|A0A2F0B044_ESCRO
OG0003660	sp|Q16514|TAF12_HUMAN	tr|A0A2F0B151|A0A2F0B151_ESCRO
OG0003661	sp|Q9UPX6|MNAR1_HUMAN	tr|A0A2F0B2Z8|A0A2F0B2Z8_ESCRO
OG0003662	sp|Q6IEE7|T132E_HUMAN	tr|A0A2F0B344|A0A2F0B344_ESCRO
OG0003663	sp|P05109|S10A8_HUMAN	tr|A0A2F0B364|A0A2F0B364_ESCRO
OG0003664	sp|Q13421|MSLN_HUMAN	tr|A0A2F0B3J6|A0A2F0B3J6_ESCRO
OG0003665	sp|Q96B26|EXOS8_HUMAN	tr|A0A2F0B3S9|A0A2F0B3S9_ESCRO
OG0003666	sp|Q8WUP2|FBLI1_HUMAN	tr|A0A2F0B3X2|A0A2F0B3X2_ESCRO
OG0003667	sp|O00217|NDUS8_HUMAN	tr|A0A2F0B474|A0A2F0B474_ESCRO
OG0003668	sp|Q13042|CDC16_HUMAN	tr|A0A2F0B522|A0A2F0B522_ESCRO
OG0003669	sp|Q8TE96|DQX1_HUMAN	tr|A0A2F0B558|A0A2F0B558_ESCRO
OG0003670	sp|Q5T5D7|ZN684_HUMAN	tr|A0A2F0B5E4|A0A2F0B5E4_ESCRO
