Orthogroup	Homo_sapiens	Delphinapterus_leucas
OG0007802	sp|P35414|APJ_HUMAN	tr|A0A2Y9PXC5|A0A2Y9PXC5_DELLE
OG0007803	sp|Q9UKS6|PACN3_HUMAN	tr|A0A2Y9PXD1|A0A2Y9PXD1_DELLE
OG0007804	sp|Q12788|TBL3_HUMAN	tr|A0A2Y9PYF9|A0A2Y9PYF9_DELLE
OG0007805	sp|O14978|ZN263_HUMAN	tr|A0A2Y9PZ01|A0A2Y9PZ01_DELLE
OG0007806	sp|Q12981|SEC20_HUMAN	tr|A0A2Y9PZ90|A0A2Y9PZ90_DELLE
OG0007807	sp|Q9Y2I6|NINL_HUMAN	tr|A0A2Y9Q2V8|A0A2Y9Q2V8_DELLE
OG0007808	sp|Q9BV10|ALG12_HUMAN	tr|A0A2Y9Q4G4|A0A2Y9Q4G4_DELLE
OG0007809	sp|Q01538|MYT1_HUMAN	tr|A0A2Y9Q6H0|A0A2Y9Q6H0_DELLE
OG0007810	sp|Q9BY42|RTF2_HUMAN	tr|A0A2Y9Q6J5|A0A2Y9Q6J5_DELLE
OG0007811	sp|Q9NV56|MRGBP_HUMAN	tr|A0A2Y9Q709|A0A2Y9Q709_DELLE
OG0007812	sp|Q16589|CCNG2_HUMAN	tr|A0A2Y9Q7V0|A0A2Y9Q7V0_DELLE
OG0007813	sp|Q8WU66|TSEAR_HUMAN	tr|A0A2Y9QAJ2|A0A2Y9QAJ2_DELLE
OG0007814	sp|Q13480|GAB1_HUMAN	tr|A0A2Y9QCZ2|A0A2Y9QCZ2_DELLE
OG0007815	sp|Q9NVH1|DJC11_HUMAN	tr|A0A2Y9QF37|A0A2Y9QF37_DELLE
OG0007816	sp|Q5JR98|DYLT4_HUMAN	tr|A0A7F8K5S4|A0A7F8K5S4_DELLE
OG0007817	sp|Q5T124|UBX11_HUMAN	tr|A0A7F8KFW7|A0A7F8KFW7_DELLE
OG0007818	sp|A2AJT9|BCLA3_HUMAN	tr|A0A7F8KGN3|A0A7F8KGN3_DELLE
OG0007819	sp|O14578|CTRO_HUMAN	tr|A0A7F8KIA9|A0A7F8KIA9_DELLE
OG0007820	sp|Q8WYQ5|DGCR8_HUMAN	tr|A0A2Y9LB23|A0A2Y9LB23_DELLE
OG0007821	sp|Q7L985|LIGO2_HUMAN	tr|A0A2Y9LCH0|A0A2Y9LCH0_DELLE
OG0007822	sp|P02745|C1QA_HUMAN	tr|A0A2Y9LD66|A0A2Y9LD66_DELLE
OG0007823	sp|P51679|CCR4_HUMAN	tr|A0A2Y9LJC7|A0A2Y9LJC7_DELLE
OG0007824	sp|Q8IYL2|TRM44_HUMAN	tr|A0A2Y9LLD1|A0A2Y9LLD1_DELLE
OG0007825	sp|Q86YJ6|THNS2_HUMAN	tr|A0A2Y9LSR0|A0A2Y9LSR0_DELLE
OG0007826	sp|O75448|MED24_HUMAN	tr|A0A2Y9LW33|A0A2Y9LW33_DELLE
OG0007827	sp|Q9Y6X3|SCC4_HUMAN	tr|A0A2Y9LXE6|A0A2Y9LXE6_DELLE
OG0007828	sp|P29122|PCSK6_HUMAN	tr|A0A2Y9LYH0|A0A2Y9LYH0_DELLE
OG0007829	sp|P12643|BMP2_HUMAN	tr|A0A2Y9LYV6|A0A2Y9LYV6_DELLE
OG0007830	sp|Q6NZI2|CAVN1_HUMAN	tr|A0A2Y9M3G6|A0A2Y9M3G6_DELLE
OG0007831	sp|Q8TB03|CX038_HUMAN	tr|A0A2Y9M416|A0A2Y9M416_DELLE
OG0007832	sp|Q1W6H9|F110C_HUMAN	tr|A0A2Y9M540|A0A2Y9M540_DELLE
OG0007833	sp|P21731|TA2R_HUMAN	tr|A0A2Y9M6N6|A0A2Y9M6N6_DELLE
OG0007834	sp|Q9UGL1|KDM5B_HUMAN	tr|A0A2Y9M7G5|A0A2Y9M7G5_DELLE
OG0007835	sp|Q96QH2|PRAM_HUMAN	tr|A0A2Y9M7K9|A0A2Y9M7K9_DELLE
OG0007836	sp|P41970|ELK3_HUMAN	tr|A0A2Y9M8J9|A0A2Y9M8J9_DELLE
OG0007837	sp|A4D1Z8|GRIFN_HUMAN	tr|A0A2Y9MAR6|A0A2Y9MAR6_DELLE
OG0007838	sp|Q9H3K2|GHITM_HUMAN	tr|A0A2Y9MAX0|A0A2Y9MAX0_DELLE
OG0007839	sp|P82912|RT11_HUMAN	tr|A0A2Y9MBQ2|A0A2Y9MBQ2_DELLE
OG0007840	sp|O43572|AKA10_HUMAN	tr|A0A2Y9MC87|A0A2Y9MC87_DELLE
OG0007841	sp|P08514|ITA2B_HUMAN	tr|A0A2Y9MG98|A0A2Y9MG98_DELLE
OG0007842	sp|O00303|EIF3F_HUMAN	tr|A0A2Y9MIL0|A0A2Y9MIL0_DELLE
OG0007843	sp|Q96G42|KLD7B_HUMAN	tr|A0A2Y9MK26|A0A2Y9MK26_DELLE
OG0007844	sp|Q7RTU5|ASCL5_HUMAN	tr|A0A2Y9MKR1|A0A2Y9MKR1_DELLE
OG0007845	sp|Q6ZNE9|RUFY4_HUMAN	tr|A0A2Y9MM66|A0A2Y9MM66_DELLE
OG0007846	sp|Q13873|BMPR2_HUMAN	tr|A0A2Y9MMB7|A0A2Y9MMB7_DELLE
OG0007847	sp|Q8TC84|FANK1_HUMAN	tr|A0A2Y9MQC2|A0A2Y9MQC2_DELLE
OG0007848	sp|Q04771|ACVR1_HUMAN	tr|A0A2Y9MSV9|A0A2Y9MSV9_DELLE
OG0007849	sp|Q71RG4|TMUB2_HUMAN	tr|A0A2Y9MUK3|A0A2Y9MUK3_DELLE
OG0007850	sp|Q9NVV9|THAP1_HUMAN	tr|A0A2Y9MX95|A0A2Y9MX95_DELLE
OG0007851	sp|Q86UX6|ST32C_HUMAN	tr|A0A2Y9MYH7|A0A2Y9MYH7_DELLE
OG0007852	sp|O95406|CNIH1_HUMAN	tr|A0A2Y9MZE4|A0A2Y9MZE4_DELLE
OG0007853	sp|Q9C0D4|Z518B_HUMAN	tr|A0A2Y9N063|A0A2Y9N063_DELLE
OG0007854	sp|Q9Y2T3|GUAD_HUMAN	tr|A0A2Y9N4Q6|A0A2Y9N4Q6_DELLE
OG0007855	sp|Q7Z4P5|GDF7_HUMAN	tr|A0A2Y9N5S5|A0A2Y9N5S5_DELLE
OG0007856	sp|Q9H3S7|PTN23_HUMAN	tr|A0A2Y9N7J8|A0A2Y9N7J8_DELLE
OG0007857	sp|Q02447|SP3_HUMAN	tr|A0A2Y9N944|A0A2Y9N944_DELLE
OG0007858	sp|Q9H307|PININ_HUMAN	tr|A0A2Y9NAY4|A0A2Y9NAY4_DELLE
OG0007859	sp|P41226|UBA7_HUMAN	tr|A0A2Y9NBI4|A0A2Y9NBI4_DELLE
OG0007860	sp|Q9NX57|RAB20_HUMAN	tr|A0A2Y9NC52|A0A2Y9NC52_DELLE
OG0007861	sp|P61278|SMS_HUMAN	tr|A0A2Y9ND28|A0A2Y9ND28_DELLE
OG0007862	sp|Q9H0C3|TM117_HUMAN	tr|A0A2Y9NFR2|A0A2Y9NFR2_DELLE
OG0007863	sp|Q9NWB6|ARGL1_HUMAN	tr|A0A2Y9NHR7|A0A2Y9NHR7_DELLE
OG0007864	sp|B2RXF5|ZBT42_HUMAN	tr|A0A2Y9NQM3|A0A2Y9NQM3_DELLE
OG0007865	sp|Q6PL24|TMED8_HUMAN	tr|A0A2Y9NS01|A0A2Y9NS01_DELLE
OG0007866	sp|Q5T2R2|DPS1_HUMAN	tr|A0A2Y9NSY6|A0A2Y9NSY6_DELLE
OG0007867	sp|Q8NEW0|ZNT7_HUMAN	tr|A0A2Y9NYA2|A0A2Y9NYA2_DELLE
OG0007868	sp|P52657|T2AG_HUMAN	tr|A0A2Y9NZW6|A0A2Y9NZW6_DELLE
OG0007869	sp|O15360|FANCA_HUMAN	tr|A0A2Y9NZW9|A0A2Y9NZW9_DELLE
OG0007870	sp|Q7Z3B1|NEGR1_HUMAN	tr|A0A2Y9P0J7|A0A2Y9P0J7_DELLE
OG0007871	sp|Q15013|MD2BP_HUMAN	tr|A0A2Y9P334|A0A2Y9P334_DELLE
OG0007872	sp|O95427|PIGN_HUMAN	tr|A0A2Y9P470|A0A2Y9P470_DELLE
OG0007873	sp|Q6ZMV9|KIF6_HUMAN	tr|A0A2Y9P5T2|A0A2Y9P5T2_DELLE
OG0007874	sp|Q9BT04|FUZZY_HUMAN	tr|A0A2Y9PBS8|A0A2Y9PBS8_DELLE
OG0007875	sp|Q9C0B0|UNK_HUMAN	tr|A0A2Y9PED8|A0A2Y9PED8_DELLE
OG0007876	sp|P09619|PGFRB_HUMAN	tr|A0A2Y9PKM4|A0A2Y9PKM4_DELLE
OG0007877	sp|P21741|MK_HUMAN	tr|A0A2Y9PQ77|A0A2Y9PQ77_DELLE
OG0007878	sp|P07237|PDIA1_HUMAN	tr|A0A2Y9PQB7|A0A2Y9PQB7_DELLE
OG0007879	sp|Q9NUN5|LMBD1_HUMAN	tr|A0A2Y9PS34|A0A2Y9PS34_DELLE
OG0007880	sp|Q9ULW0|TPX2_HUMAN	tr|A0A2Y9PS95|A0A2Y9PS95_DELLE
OG0007881	sp|P07333|CSF1R_HUMAN	tr|A0A2Y9PSB0|A0A2Y9PSB0_DELLE
OG0007882	sp|Q86TB9|PATL1_HUMAN	tr|A0A2Y9PW83|A0A2Y9PW83_DELLE
OG0007883	sp|P14679|TYRO_HUMAN	tr|A0A2Y9PW88|A0A2Y9PW88_DELLE
OG0007884	sp|Q15771|RAB30_HUMAN	tr|A0A2Y9PWV9|A0A2Y9PWV9_DELLE
OG0007885	sp|Q9H1R3|MYLK2_HUMAN	tr|A0A2Y9PZS1|A0A2Y9PZS1_DELLE
OG0007886	sp|O96000|NDUBA_HUMAN	tr|A0A2Y9Q458|A0A2Y9Q458_DELLE
OG0007887	sp|Q9UGB7|MIOX_HUMAN	tr|A0A2Y9Q4D7|A0A2Y9Q4D7_DELLE
OG0007888	sp|Q6P5S7|RNK_HUMAN	tr|A0A2Y9Q8L9|A0A2Y9Q8L9_DELLE
OG0007889	sp|Q9HCE5|MET14_HUMAN	tr|A0A2Y9Q965|A0A2Y9Q965_DELLE
OG0007890	sp|P10912|GHR_HUMAN	tr|A0A2Y9QES8|A0A2Y9QES8_DELLE
OG0007891	sp|Q6R327|RICTR_HUMAN	tr|A0A2Y9QGM8|A0A2Y9QGM8_DELLE
OG0007892	sp|Q07325|CXCL9_HUMAN	tr|A0A2Y9QIR7|A0A2Y9QIR7_DELLE
OG0007893	sp|O15266|SHOX_HUMAN	tr|A0A7F8K4L2|A0A7F8K4L2_DELLE
OG0007894	sp|P21549|AGT1_HUMAN	tr|A0A7F8K6T4|A0A7F8K6T4_DELLE
OG0007895	sp|Q6ZMR5|TM11A_HUMAN	tr|A0A7F8K8E1|A0A7F8K8E1_DELLE
OG0007896	sp|Q9P2H5|UBP35_HUMAN	tr|A0A7F8K908|A0A7F8K908_DELLE
OG0007897	sp|Q8TDW5|SYTL5_HUMAN	tr|A0A7F8KIY6|A0A7F8KIY6_DELLE
OG0007898	sp|Q14CX7|NAA25_HUMAN	tr|A0A2Y9L9U7|A0A2Y9L9U7_DELLE
OG0007899	sp|Q5JRX3|PREP_HUMAN	tr|A0A2Y9LKY4|A0A2Y9LKY4_DELLE
OG0007900	sp|Q5BLP8|CD048_HUMAN	tr|A0A2Y9LTL3|A0A2Y9LTL3_DELLE
OG0007901	sp|O60271|JIP4_HUMAN	tr|A0A2Y9LWU3|A0A2Y9LWU3_DELLE
OG0007902	sp|Q9UD71|PPR1B_HUMAN	tr|A0A2Y9LX00|A0A2Y9LX00_DELLE
OG0007903	sp|A8MTJ6|FOXI3_HUMAN	tr|A0A2Y9LXQ9|A0A2Y9LXQ9_DELLE
OG0007904	sp|O60939|SCN2B_HUMAN	tr|A0A2Y9LZG6|A0A2Y9LZG6_DELLE
OG0007905	sp|A6NKN8|PC4L1_HUMAN	tr|A0A2Y9LZL3|A0A2Y9LZL3_DELLE
OG0007906	sp|Q9UI12|VATH_HUMAN	tr|A0A2Y9LZT7|A0A2Y9LZT7_DELLE
OG0007907	sp|O95297|MPZL1_HUMAN	tr|A0A2Y9M181|A0A2Y9M181_DELLE
OG0007908	sp|P68402|PA1B2_HUMAN	tr|A0A2Y9M1A5|A0A2Y9M1A5_DELLE
OG0007909	sp|Q9UKI9|PO2F3_HUMAN	tr|A0A2Y9M2R4|A0A2Y9M2R4_DELLE
OG0007910	sp|Q9H6I2|SOX17_HUMAN	tr|A0A2Y9M570|A0A2Y9M570_DELLE
OG0007911	sp|P56715|RP1_HUMAN	tr|A0A2Y9M575|A0A2Y9M575_DELLE
OG0007912	sp|Q8WVK2|SNR27_HUMAN	tr|A0A2Y9M5L5|A0A2Y9M5L5_DELLE
OG0007913	sp|Q5T6V5|QSPP_HUMAN	tr|A0A2Y9M660|A0A2Y9M660_DELLE
OG0007914	sp|P50579|MAP2_HUMAN	tr|A0A2Y9M7E0|A0A2Y9M7E0_DELLE
OG0007915	sp|Q3KP66|INAVA_HUMAN	tr|A0A2Y9M7J7|A0A2Y9M7J7_DELLE
OG0007916	sp|P36956|SRBP1_HUMAN	tr|A0A2Y9MBW8|A0A2Y9MBW8_DELLE
OG0007917	sp|P98177|FOXO4_HUMAN	tr|A0A2Y9MCE0|A0A2Y9MCE0_DELLE
OG0007918	sp|O00548|DLL1_HUMAN	tr|A0A2Y9MDM3|A0A2Y9MDM3_DELLE
OG0007919	sp|Q96EP9|NTCP4_HUMAN	tr|A0A2Y9MEY9|A0A2Y9MEY9_DELLE
OG0007920	sp|Q7Z6K5|ARPIN_HUMAN	tr|A0A2Y9MFA0|A0A2Y9MFA0_DELLE
OG0007921	sp|P19532|TFE3_HUMAN	tr|A0A2Y9MKB2|A0A2Y9MKB2_DELLE
OG0007922	sp|O43187|IRAK2_HUMAN	tr|A0A2Y9MMT6|A0A2Y9MMT6_DELLE
OG0007923	sp|Q6P1M9|ARMX5_HUMAN	tr|A0A2Y9MT81|A0A2Y9MT81_DELLE
OG0007924	sp|Q9UPU9|SMAG1_HUMAN	tr|A0A2Y9MWK0|A0A2Y9MWK0_DELLE
OG0007925	sp|Q15154|PCM1_HUMAN	tr|A0A2Y9MXZ8|A0A2Y9MXZ8_DELLE
OG0007926	sp|Q6NSI4|RADX_HUMAN	tr|A0A2Y9MYD3|A0A2Y9MYD3_DELLE
OG0007927	sp|Q9Y4H4|GPSM3_HUMAN	tr|A0A2Y9MYU9|A0A2Y9MYU9_DELLE
OG0007928	sp|Q96HV5|TM41A_HUMAN	tr|A0A2Y9MZ51|A0A2Y9MZ51_DELLE
OG0007929	sp|P21860|ERBB3_HUMAN	tr|A0A2Y9N080|A0A2Y9N080_DELLE
OG0007930	sp|A6NES4|MRO2A_HUMAN	tr|A0A2Y9N465|A0A2Y9N465_DELLE
OG0007931	sp|P31274|HXC9_HUMAN	tr|A0A2Y9N6Y7|A0A2Y9N6Y7_DELLE
OG0007932	sp|Q9H6T3|RPAP3_HUMAN	tr|A0A2Y9N9E9|A0A2Y9N9E9_DELLE
OG0007933	sp|O94864|ST65G_HUMAN	tr|A0A2Y9NAE5|A0A2Y9NAE5_DELLE
OG0007934	sp|Q9H867|MT21D_HUMAN	tr|A0A2Y9NAS6|A0A2Y9NAS6_DELLE
OG0007935	sp|Q9H1J1|REN3A_HUMAN	tr|A0A2Y9NBX0|A0A2Y9NBX0_DELLE
OG0007936	sp|Q5SGD2|PPM1L_HUMAN	tr|A0A2Y9NC31|A0A2Y9NC31_DELLE
OG0007937	sp|O94850|DEND_HUMAN	tr|A0A2Y9NFF0|A0A2Y9NFF0_DELLE
OG0007938	sp|Q9HB14|KCNKD_HUMAN	tr|A0A2Y9NGC7|A0A2Y9NGC7_DELLE
OG0007939	sp|Q9Y546|LRC42_HUMAN	tr|A0A2Y9NJ48|A0A2Y9NJ48_DELLE
OG0007940	sp|Q96F86|EDC3_HUMAN	tr|A0A2Y9NS40|A0A2Y9NS40_DELLE
OG0007941	sp|P08581|MET_HUMAN	tr|A0A2Y9NWP7|A0A2Y9NWP7_DELLE
OG0007942	sp|Q6UWU4|CF089_HUMAN	tr|A0A2Y9NX39|A0A2Y9NX39_DELLE
OG0007943	sp|Q9BPX5|ARP5L_HUMAN	tr|A0A2Y9NXS2|A0A2Y9NXS2_DELLE
OG0007944	sp|Q9Y5X9|LIPE_HUMAN	tr|A0A2Y9NZC6|A0A2Y9NZC6_DELLE
OG0007945	sp|Q99665|I12R2_HUMAN	tr|A0A2Y9P0N5|A0A2Y9P0N5_DELLE
OG0007946	sp|Q00056|HXA4_HUMAN	tr|A0A2Y9P4X7|A0A2Y9P4X7_DELLE
OG0007947	sp|Q5VV42|CDKAL_HUMAN	tr|A0A2Y9P5U8|A0A2Y9P5U8_DELLE
OG0007948	sp|Q96A00|PP14A_HUMAN	tr|A0A2Y9P5W8|A0A2Y9P5W8_DELLE
OG0007949	sp|Q9UBV4|WNT16_HUMAN	tr|A0A2Y9P7C0|A0A2Y9P7C0_DELLE
OG0007950	sp|Q96RS6|NUDC1_HUMAN	tr|A0A2Y9PAF1|A0A2Y9PAF1_DELLE
OG0007952	sp|O00189|AP4M1_HUMAN	tr|A0A2Y9PE53|A0A2Y9PE53_DELLE
OG0007953	sp|Q96LL9|DJC30_HUMAN	tr|A0A2Y9PER6|A0A2Y9PER6_DELLE
OG0007954	sp|O00232|PSD12_HUMAN	tr|A0A2Y9PQ26|A0A2Y9PQ26_DELLE
OG0007955	sp|Q6ZMQ8|LMTK1_HUMAN	tr|A0A2Y9PQG6|A0A2Y9PQG6_DELLE
OG0007956	sp|Q9H6L4|ARMC7_HUMAN	tr|A0A2Y9PR69|A0A2Y9PR69_DELLE
OG0007957	sp|Q9UJJ9|GNPTG_HUMAN	tr|A0A2Y9PTD4|A0A2Y9PTD4_DELLE
OG0007958	sp|Q9NRD0|FBX8_HUMAN	tr|A0A2Y9PUR1|A0A2Y9PUR1_DELLE
OG0007959	sp|O00750|P3C2B_HUMAN	tr|A0A2Y9PW33|A0A2Y9PW33_DELLE
OG0007960	sp|P06127|CD5_HUMAN	tr|A0A2Y9PWT3|A0A2Y9PWT3_DELLE
OG0007961	sp|Q6UWF3|SCIMP_HUMAN	tr|A0A2Y9PYG8|A0A2Y9PYG8_DELLE
OG0007962	sp|O95391|SLU7_HUMAN	tr|A0A2Y9PZH5|A0A2Y9PZH5_DELLE
OG0007963	sp|Q15369|ELOC_HUMAN	tr|A0A2Y9Q0R4|A0A2Y9Q0R4_DELLE
OG0007964	sp|Q92604|LGAT1_HUMAN	tr|A0A2Y9Q155|A0A2Y9Q155_DELLE
OG0007965	sp|Q7RTU4|BHA09_HUMAN	tr|A0A2Y9Q1U2|A0A2Y9Q1U2_DELLE
OG0007966	sp|P07197|NFM_HUMAN	tr|A0A2Y9Q5B9|A0A2Y9Q5B9_DELLE
OG0007967	sp|Q96KR7|PHAR3_HUMAN	tr|A0A2Y9Q766|A0A2Y9Q766_DELLE
OG0007968	sp|P58557|YBEY_HUMAN	tr|A0A2Y9QAM0|A0A2Y9QAM0_DELLE
OG0007969	sp|P55001|MFAP2_HUMAN	tr|A0A2Y9QGA8|A0A2Y9QGA8_DELLE
OG0007970	sp|O96009|NAPSA_HUMAN	tr|A0A7F8K3K7|A0A7F8K3K7_DELLE
OG0007971	sp|Q5VX52|SPAT1_HUMAN	tr|A0A7F8K5R4|A0A7F8K5R4_DELLE
OG0007972	sp|Q96ND0|F210A_HUMAN	tr|A0A2Y9LBN8|A0A2Y9LBN8_DELLE
OG0007973	sp|P50747|BPL1_HUMAN	tr|A0A2Y9LIW2|A0A2Y9LIW2_DELLE
OG0007974	sp|Q7Z5L9|I2BP2_HUMAN	tr|A0A2Y9LJB7|A0A2Y9LJB7_DELLE
OG0007975	sp|Q9NZ09|UBAP1_HUMAN	tr|A0A2Y9LJK5|A0A2Y9LJK5_DELLE
OG0007976	sp|Q9NZK7|PA2GE_HUMAN	tr|A0A2Y9LQM4|A0A2Y9LQM4_DELLE
OG0007977	sp|O00590|ACKR2_HUMAN	tr|A0A2Y9LQU2|A0A2Y9LQU2_DELLE
OG0007978	sp|Q9UHX1|PUF60_HUMAN	tr|A0A2Y9LR02|A0A2Y9LR02_DELLE
OG0007979	sp|Q5GH76|XKR4_HUMAN	tr|A0A2Y9LSA8|A0A2Y9LSA8_DELLE
OG0007980	sp|Q9BZW5|TM6S1_HUMAN	tr|A0A2Y9LT82|A0A2Y9LT82_DELLE
OG0007981	sp|O95500|CLD14_HUMAN	tr|A0A2Y9LTZ1|A0A2Y9LTZ1_DELLE
OG0007982	sp|Q7Z6V5|ADAT2_HUMAN	tr|A0A2Y9LVZ5|A0A2Y9LVZ5_DELLE
OG0007983	sp|P27918|PROP_HUMAN	tr|A0A2Y9LYJ7|A0A2Y9LYJ7_DELLE
OG0007984	sp|A5D8V7|ODAD3_HUMAN	tr|A0A2Y9M0I8|A0A2Y9M0I8_DELLE
OG0007985	sp|Q96FB5|MT25B_HUMAN	tr|A0A2Y9M226|A0A2Y9M226_DELLE
OG0007986	sp|Q5M775|CYTSB_HUMAN	tr|A0A2Y9M3G5|A0A2Y9M3G5_DELLE
OG0007987	sp|O95831|AIFM1_HUMAN	tr|A0A2Y9M834|A0A2Y9M834_DELLE
OG0007988	sp|Q8NE31|FA13C_HUMAN	tr|A0A2Y9MB43|A0A2Y9MB43_DELLE
OG0007989	sp|Q13651|I10R1_HUMAN	tr|A0A2Y9MBZ2|A0A2Y9MBZ2_DELLE
OG0007990	sp|Q9Y5P8|P2R3B_HUMAN	tr|A0A2Y9MEY1|A0A2Y9MEY1_DELLE
OG0007991	sp|P31949|S10AB_HUMAN	tr|A0A2Y9MFQ9|A0A2Y9MFQ9_DELLE
OG0007992	sp|O14829|PPE1_HUMAN	tr|A0A2Y9MJK0|A0A2Y9MJK0_DELLE
OG0007993	sp|Q13416|ORC2_HUMAN	tr|A0A2Y9MM60|A0A2Y9MM60_DELLE
OG0007994	sp|Q7Z449|CP2U1_HUMAN	tr|A0A2Y9MPC0|A0A2Y9MPC0_DELLE
OG0007995	sp|Q14642|I5P1_HUMAN	tr|A0A2Y9MQ47|A0A2Y9MQ47_DELLE
OG0007996	sp|P51124|GRAM_HUMAN	tr|A0A2Y9MQT6|A0A2Y9MQT6_DELLE
OG0007997	sp|Q53TN4|CYBR1_HUMAN	tr|A0A2Y9MTM7|A0A2Y9MTM7_DELLE
OG0007998	sp|Q86YC3|LRC33_HUMAN	tr|A0A2Y9MTP9|A0A2Y9MTP9_DELLE
OG0007999	sp|Q9UQE7|SMC3_HUMAN	tr|A0A2Y9MU97|A0A2Y9MU97_DELLE
OG0008000	sp|Q8N3E9|PLCD3_HUMAN	tr|A0A2Y9MUC4|A0A2Y9MUC4_DELLE
OG0008001	sp|A0AV96|RBM47_HUMAN	tr|A0A2Y9MVM3|A0A2Y9MVM3_DELLE
OG0008002	sp|Q6WKZ4|RFIP1_HUMAN	tr|A0A2Y9MWW8|A0A2Y9MWW8_DELLE
OG0008003	sp|Q9NUQ8|ABCF3_HUMAN	tr|A0A2Y9MXH0|A0A2Y9MXH0_DELLE
OG0008004	sp|Q16352|AINX_HUMAN	tr|A0A2Y9MZS9|A0A2Y9MZS9_DELLE
OG0008005	sp|Q6UXK5|LRRN1_HUMAN	tr|A0A2Y9N201|A0A2Y9N201_DELLE
OG0008006	sp|Q15788|NCOA1_HUMAN	tr|A0A2Y9N5N9|A0A2Y9N5N9_DELLE
OG0008007	sp|Q8WZ71|TM158_HUMAN	tr|A0A2Y9N7X5|A0A2Y9N7X5_DELLE
OG0008008	sp|Q5T5D7|ZN684_HUMAN	tr|A0A2Y9N8I9|A0A2Y9N8I9_DELLE
OG0008009	sp|Q6N075|MFSD5_HUMAN	tr|A0A2Y9N8M3|A0A2Y9N8M3_DELLE
OG0008010	sp|O75056|SDC3_HUMAN	tr|A0A2Y9N8Z7|A0A2Y9N8Z7_DELLE
OG0008011	sp|A0A0D9SF12|CC163_HUMAN	tr|A0A2Y9NAN0|A0A2Y9NAN0_DELLE
OG0008012	sp|Q5T0F9|C2D1B_HUMAN	tr|A0A2Y9NAY6|A0A2Y9NAY6_DELLE
OG0008013	sp|O43155|FLRT2_HUMAN	tr|A0A2Y9ND80|A0A2Y9ND80_DELLE
OG0008014	sp|Q9UKA4|AKA11_HUMAN	tr|A0A2Y9NGN6|A0A2Y9NGN6_DELLE
OG0008015	sp|Q8TD17|ZN398_HUMAN	tr|A0A2Y9NN75|A0A2Y9NN75_DELLE
OG0008016	sp|O14807|RASM_HUMAN	tr|A0A2Y9NTG6|A0A2Y9NTG6_DELLE
OG0008017	sp|Q6ZVD8|PHLP2_HUMAN	tr|A0A2Y9NY88|A0A2Y9NY88_DELLE
OG0008018	sp|Q9BZJ8|GPR61_HUMAN	tr|A0A2Y9P3M4|A0A2Y9P3M4_DELLE
OG0008019	sp|Q8NB16|MLKL_HUMAN	tr|A0A2Y9P7E0|A0A2Y9P7E0_DELLE
OG0008020	sp|Q86WJ1|CHD1L_HUMAN	tr|A0A2Y9P8F0|A0A2Y9P8F0_DELLE
OG0008021	sp|Q8NBS9|TXND5_HUMAN	tr|A0A2Y9P8F3|A0A2Y9P8F3_DELLE
OG0008022	sp|P19429|TNNI3_HUMAN	tr|A0A2Y9P947|A0A2Y9P947_DELLE
OG0008023	sp|Q9P2K5|MYEF2_HUMAN	tr|A0A2Y9PA33|A0A2Y9PA33_DELLE
OG0008024	sp|Q52WX2|SBK1_HUMAN	tr|A0A2Y9PB17|A0A2Y9PB17_DELLE
OG0008025	sp|P53680|AP2S1_HUMAN	tr|A0A2Y9PCF4|A0A2Y9PCF4_DELLE
OG0008026	sp|O00559|RCAS1_HUMAN	tr|A0A2Y9PCR8|A0A2Y9PCR8_DELLE
OG0008027	sp|Q6NYC1|JMJD6_HUMAN	tr|A0A2Y9PE56|A0A2Y9PE56_DELLE
OG0008028	sp|Q9P0U1|TOM7_HUMAN	tr|A0A2Y9PEI4|A0A2Y9PEI4_DELLE
OG0008029	sp|Q15056|IF4H_HUMAN	tr|A0A2Y9PKJ4|A0A2Y9PKJ4_DELLE
OG0008030	sp|Q96T49|PP16B_HUMAN	tr|A0A2Y9PR92|A0A2Y9PR92_DELLE
OG0008031	sp|Q86W34|AMZ2_HUMAN	tr|A0A2Y9PRK2|A0A2Y9PRK2_DELLE
OG0008032	sp|Q7L8C5|SYT13_HUMAN	tr|A0A2Y9PRM3|A0A2Y9PRM3_DELLE
OG0008033	sp|Q9Y261|FOXA2_HUMAN	tr|A0A2Y9PSS8|A0A2Y9PSS8_DELLE
OG0008034	sp|Q13424|SNTA1_HUMAN	tr|A0A2Y9PYG9|A0A2Y9PYG9_DELLE
OG0008035	sp|Q86VD1|MORC1_HUMAN	tr|A0A2Y9PYJ3|A0A2Y9PYJ3_DELLE
OG0008036	sp|Q8N5A5|ZGPAT_HUMAN	tr|A0A2Y9Q6V9|A0A2Y9Q6V9_DELLE
OG0008037	sp|Q8IYR2|SMYD4_HUMAN	tr|A0A2Y9Q6W1|A0A2Y9Q6W1_DELLE
OG0008038	sp|Q9Y2W3|S45A1_HUMAN	tr|A0A2Y9Q9V2|A0A2Y9Q9V2_DELLE
OG0008039	sp|Q9P2R6|RERE_HUMAN	tr|A0A2Y9QA14|A0A2Y9QA14_DELLE
OG0008040	sp|O43827|ANGL7_HUMAN	tr|A0A2Y9QA36|A0A2Y9QA36_DELLE
OG0008041	sp|Q6ZTQ3|RASF6_HUMAN	tr|A0A2Y9QC22|A0A2Y9QC22_DELLE
OG0008042	sp|Q99788|CML1_HUMAN	tr|A0A2Y9QEL1|A0A2Y9QEL1_DELLE
